time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.2442;3.2476;
-199.5000;0.2458;3.2501;
-199.2000;0.2434;3.2451;
-198.9000;0.2450;3.2501;
-198.6000;0.2458;3.2626;
-198.3000;0.2442;3.2551;
-198.0000;0.2442;3.2476;
-197.7000;0.2491;3.2726;
-197.4000;0.2442;3.2576;
-197.1000;0.2450;3.2726;
-196.8000;0.2450;3.2676;
-196.5000;0.2458;3.2601;
-196.2000;0.2434;3.2601;
-195.9000;0.2458;3.2676;
-195.6000;0.2475;3.2726;
-195.3000;0.2442;3.2576;
-195.0000;0.2450;3.2501;
-194.7000;0.2409;3.2375;
-194.4000;0.2475;3.2526;
-194.1000;0.2434;3.2451;
-193.8000;0.2434;3.2551;
-193.5000;0.2426;3.2476;
-193.2000;0.2523;3.2751;
-192.9000;0.2418;3.2501;
-192.6000;0.2442;3.2601;
-192.3000;0.2458;3.2751;
-192.0000;0.2434;3.2826;
-191.7000;0.2450;3.2851;
-191.4000;0.2434;3.2801;
-191.1000;0.2426;3.2851;
-190.8000;0.2434;3.2826;
-190.5000;0.2450;3.2801;
-190.2000;0.2434;3.2676;
-189.9000;0.2442;3.2701;
-189.6000;0.2434;3.2676;
-189.3000;0.2450;3.2776;
-189.0000;0.2442;3.2726;
-188.7000;0.2450;3.2751;
-188.4000;0.2466;3.2776;
-188.1000;0.2426;3.2651;
-187.8000;0.2418;3.2551;
-187.5000;0.2458;3.2601;
-187.2000;0.2458;3.2701;
-186.9000;0.2434;3.2576;
-186.6000;0.2434;3.2601;
-186.3000;0.2409;3.2526;
-186.0000;0.2377;3.2350;
-185.7000;0.2458;3.2601;
-185.4000;0.2458;3.2601;
-185.1000;0.2434;3.2676;
-184.8000;0.2377;3.2501;
-184.5000;0.2434;3.2551;
-184.2000;0.2450;3.2726;
-183.9000;0.2450;3.2701;
-183.6000;0.2434;3.2526;
-183.3000;0.2466;3.2551;
-183.0000;0.2450;3.2551;
-182.7000;0.2434;3.2576;
-182.4000;0.2466;3.2576;
-182.1000;0.2434;3.2476;
-181.8000;0.2442;3.2551;
-181.5000;0.2442;3.2576;
-181.2000;0.2426;3.2626;
-180.9000;0.2450;3.2626;
-180.6000;0.2418;3.2601;
-180.3000;0.2466;3.2776;
-180.0000;0.2450;3.2626;
-179.7000;0.2458;3.2576;
-179.4000;0.2483;3.2601;
-179.1000;0.2450;3.2501;
-178.8000;0.2458;3.2526;
-178.5000;0.2434;3.2501;
-178.2000;0.2434;3.2551;
-177.9000;0.2418;3.2501;
-177.6000;0.2442;3.2526;
-177.3000;0.2426;3.2476;
-177.0000;0.2426;3.2476;
-176.7000;0.2466;3.2451;
-176.4000;0.2434;3.2375;
-176.1000;0.2442;3.2426;
-175.8000;0.2434;3.2426;
-175.5000;0.2401;3.2350;
-175.2000;0.2393;3.2325;
-174.9000;0.2450;3.2576;
-174.6000;0.2426;3.2501;
-174.3000;0.2418;3.2501;
-174.0000;0.2475;3.2726;
-173.7000;0.2426;3.2601;
-173.4000;0.2442;3.2551;
-173.1000;0.2450;3.2451;
-172.8000;0.2409;3.2426;
-172.5000;0.2434;3.2375;
-172.2000;0.2442;3.2300;
-171.9000;0.2442;3.2250;
-171.6000;0.2426;3.2250;
-171.3000;0.2442;3.2325;
