time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.7204;1.4577;
-199.5000;0.7212;1.4600;
-199.2000;0.7196;1.4506;
-198.9000;0.7212;1.4483;
-198.6000;0.7220;1.4413;
-198.3000;0.7220;1.4413;
-198.0000;0.7212;1.4459;
-197.7000;0.7220;1.4436;
-197.4000;0.7212;1.4436;
-197.1000;0.7204;1.4459;
-196.8000;0.7204;1.4459;
-196.5000;0.7228;1.4459;
-196.2000;0.7188;1.4413;
-195.9000;0.7188;1.4319;
-195.6000;0.7228;1.4413;
-195.3000;0.7212;1.4436;
-195.0000;0.7204;1.4459;
-194.7000;0.7212;1.4506;
-194.4000;0.7204;1.4530;
-194.1000;0.7204;1.4577;
-193.8000;0.7196;1.4553;
-193.5000;0.7196;1.4483;
-193.2000;0.7212;1.4436;
-192.9000;0.7188;1.4413;
-192.6000;0.7220;1.4530;
-192.3000;0.7220;1.4506;
-192.0000;0.7204;1.4459;
-191.7000;0.7188;1.4389;
-191.4000;0.7236;1.4600;
-191.1000;0.7220;1.4577;
-190.8000;0.7204;1.4483;
-190.5000;0.7179;1.4413;
-190.2000;0.7220;1.4459;
-189.9000;0.7220;1.4459;
-189.6000;0.7220;1.4366;
-189.3000;0.7212;1.4342;
-189.0000;0.7228;1.4366;
-188.7000;0.7212;1.4225;
-188.4000;0.7204;1.4225;
-188.1000;0.7220;1.4225;
-187.8000;0.7212;1.4178;
-187.5000;0.7212;1.4178;
-187.2000;0.7204;1.4178;
-186.9000;0.7220;1.4201;
-186.6000;0.7204;1.4154;
-186.3000;0.7212;1.4225;
-186.0000;0.7204;1.4201;
-185.7000;0.7212;1.4248;
-185.4000;0.7220;1.4225;
-185.1000;0.7220;1.4225;
-184.8000;0.7188;1.4178;
-184.5000;0.7204;1.4272;
-184.2000;0.7212;1.4319;
-183.9000;0.7212;1.4272;
-183.6000;0.7220;1.4295;
-183.3000;0.7212;1.4319;
-183.0000;0.7220;1.4295;
-182.7000;0.7204;1.4201;
-182.4000;0.7220;1.4225;
-182.1000;0.7220;1.4295;
-181.8000;0.7220;1.4319;
-181.5000;0.7196;1.4342;
-181.2000;0.7228;1.4530;
-180.9000;0.7188;1.4459;
-180.6000;0.7196;1.4459;
-180.3000;0.7212;1.4506;
-180.0000;0.7196;1.4506;
-179.7000;0.7212;1.4506;
-179.4000;0.7196;1.4483;
-179.1000;0.7188;1.4366;
-178.8000;0.7212;1.4389;
-178.5000;0.7212;1.4436;
-178.2000;0.7212;1.4366;
-177.9000;0.7196;1.4272;
-177.6000;0.7212;1.4319;
-177.3000;0.7212;1.4295;
-177.0000;0.7196;1.4225;
-176.7000;0.7212;1.4272;
-176.4000;0.7212;1.4319;
-176.1000;0.7212;1.4248;
-175.8000;0.7212;1.4154;
-175.5000;0.7204;1.4225;
-175.2000;0.7123;1.4037;
-174.9000;0.7245;1.4295;
-174.6000;0.7220;1.4225;
-174.3000;0.7196;1.4131;
-174.0000;0.7204;1.4154;
-173.7000;0.7147;1.3990;
-173.4000;0.7220;1.4107;
-173.1000;0.7123;1.3849;
-172.8000;0.7220;1.4107;
-172.5000;0.7212;1.4178;
-172.2000;0.7220;1.4248;
-171.9000;0.7236;1.4295;
-171.6000;0.7228;1.4319;
-171.3000;0.7212;1.4366;
-171.0000;0.7236;1.4366;
-170.7000;0.7269;1.4459;
-170.4000;0.7212;1.4248;
-170.1000;0.7212;1.4178;
-169.8000;0.7236;1.4178;
-169.5000;0.7302;1.4413;
-169.2000;0.7212;1.4295;
-168.9000;0.7212;1.4342;
-168.6000;0.7196;1.4366;
-168.3000;0.7196;1.4389;
-168.0000;0.7212;1.4225;
-167.7000;0.7196;1.4225;
