time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.0977;1.0555;
-199.5000;0.0977;1.0579;
-199.2000;0.0944;1.0462;
-198.9000;0.0977;1.0532;
-198.6000;0.0977;1.0439;
-198.3000;0.0961;1.0439;
-198.0000;0.1026;1.0649;
-197.7000;0.0985;1.0509;
-197.4000;0.0969;1.0532;
-197.1000;0.0904;1.0369;
-196.8000;0.0985;1.0532;
-196.5000;0.0993;1.0555;
-196.2000;0.0977;1.0579;
-195.9000;0.1026;1.0742;
-195.6000;0.0961;1.0509;
-195.3000;0.1026;1.0695;
-195.0000;0.0969;1.0602;
-194.7000;0.0977;1.0579;
-194.4000;0.0977;1.0625;
-194.1000;0.0985;1.0579;
-193.8000;0.0985;1.0509;
-193.5000;0.0936;1.0439;
-193.2000;0.0961;1.0392;
-192.9000;0.0961;1.0392;
-192.6000;0.0969;1.0345;
-192.3000;0.0961;1.0322;
-192.0000;0.1001;1.0415;
-191.7000;0.0969;1.0439;
-191.4000;0.0977;1.0369;
-191.1000;0.0887;1.0182;
-190.8000;0.0952;1.0439;
-190.5000;0.0969;1.0579;
-190.2000;0.0961;1.0625;
-189.9000;0.0952;1.0485;
-189.6000;0.0985;1.0532;
-189.3000;0.0985;1.0532;
-189.0000;0.0993;1.0555;
-188.7000;0.0977;1.0462;
-188.4000;0.0961;1.0462;
-188.1000;0.0985;1.0532;
-187.8000;0.0952;1.0532;
-187.5000;0.0969;1.0579;
-187.2000;0.0985;1.0672;
-186.9000;0.0969;1.0672;
-186.6000;0.0977;1.0649;
-186.3000;0.0961;1.0579;
-186.0000;0.0969;1.0625;
-185.7000;0.0969;1.0555;
-185.4000;0.0969;1.0649;
-185.1000;0.0977;1.0625;
-184.8000;0.0969;1.0555;
-184.5000;0.0977;1.0485;
-184.2000;0.0944;1.0485;
-183.9000;0.0993;1.0625;
-183.6000;0.0977;1.0602;
-183.3000;0.0944;1.0555;
-183.0000;0.0993;1.0625;
-182.7000;0.0985;1.0555;
-182.4000;0.0985;1.0439;
-182.1000;0.0944;1.0369;
-181.8000;0.0985;1.0462;
-181.5000;0.0969;1.0415;
-181.2000;0.0969;1.0462;
-180.9000;0.0863;1.0182;
-180.6000;0.0961;1.0392;
-180.3000;0.0969;1.0392;
-180.0000;0.0969;1.0392;
-179.7000;0.0969;1.0345;
-179.4000;0.0985;1.0392;
-179.1000;0.0969;1.0462;
-178.8000;0.0961;1.0462;
-178.5000;0.0977;1.0485;
-178.2000;0.0977;1.0485;
-177.9000;0.0993;1.0532;
-177.6000;0.0977;1.0462;
-177.3000;0.0961;1.0392;
-177.0000;0.0969;1.0275;
-176.7000;0.1050;1.0509;
-176.4000;0.0977;1.0369;
-176.1000;0.0863;1.0018;
-175.8000;0.0985;1.0415;
-175.5000;0.0977;1.0415;
-175.2000;0.0977;1.0462;
-174.9000;0.1009;1.0532;
-174.6000;0.0969;1.0462;
-174.3000;0.0977;1.0485;
-174.0000;0.1018;1.0695;
-173.7000;0.0977;1.0695;
-173.4000;0.0985;1.0695;
-173.1000;0.0985;1.0649;
-172.8000;0.0969;1.0719;
-172.5000;0.0977;1.0789;
-172.2000;0.0961;1.0695;
-171.9000;0.0952;1.0672;
-171.6000;0.1001;1.0812;
-171.3000;0.0969;1.0742;
-171.0000;0.0936;1.0625;
-170.7000;0.0985;1.0672;
-170.4000;0.0961;1.0579;
-170.1000;0.1018;1.0789;
-169.8000;0.0944;1.0649;
-169.5000;0.1009;1.0789;
-169.2000;0.0961;1.0672;
-168.9000;0.0985;1.0719;
-168.6000;0.0993;1.0719;
-168.3000;0.0969;1.0695;
-168.0000;0.0985;1.0742;
-167.7000;0.0985;1.0812;
-167.4000;0.0961;1.0719;
-167.1000;0.0969;1.0649;
-166.8000;0.0895;1.0439;
-166.5000;0.0993;1.0649;
-166.2000;0.0969;1.0672;
-165.9000;0.0936;1.0649;
-165.6000;0.0928;1.0625;
-165.3000;0.0985;1.0719;
-165.0000;0.0977;1.0695;
-164.7000;0.0977;1.0625;
-164.4000;0.0993;1.0602;
-164.1000;0.0961;1.0532;
-163.8000;0.1009;1.0602;
-163.5000;0.0977;1.0509;
-163.2000;0.0985;1.0462;
