time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;1.0435;1.6917;
-199.5000;1.0435;1.6892;
-199.2000;1.0403;1.6892;
-198.9000;1.0411;1.6841;
-198.6000;1.0444;1.6917;
-198.3000;1.0444;1.6993;
-198.0000;1.0435;1.6993;
-197.7000;1.0419;1.7069;
-197.4000;1.0427;1.7171;
-197.1000;1.0427;1.7120;
-196.8000;1.0419;1.7095;
-196.5000;1.0419;1.7069;
-196.2000;1.0411;1.7044;
-195.9000;1.0444;1.7095;
-195.6000;1.0435;1.7095;
-195.3000;1.0419;1.7120;
-195.0000;1.0444;1.7171;
-194.7000;1.0427;1.7095;
-194.4000;1.0435;1.7272;
-194.1000;1.0338;1.7095;
-193.8000;1.0403;1.7298;
-193.5000;1.0427;1.7298;
-193.2000;1.0427;1.7272;
-192.9000;1.0468;1.7298;
-192.6000;1.0427;1.7272;
-192.3000;1.0427;1.7120;
-192.0000;1.0427;1.7120;
-191.7000;1.0419;1.7069;
-191.4000;1.0427;1.7120;
-191.1000;1.0435;1.7044;
-190.8000;1.0387;1.6892;
-190.5000;1.0427;1.6942;
-190.2000;1.0427;1.7019;
-189.9000;1.0468;1.7095;
-189.6000;1.0444;1.6968;
-189.3000;1.0427;1.6892;
-189.0000;1.0419;1.6866;
-188.7000;1.0427;1.6866;
-188.4000;1.0427;1.6816;
-188.1000;1.0533;1.7120;
-187.8000;1.0403;1.6765;
-187.5000;1.0419;1.6866;
-187.2000;1.0403;1.6942;
-186.9000;1.0501;1.7120;
-186.6000;1.0427;1.6968;
-186.3000;1.0435;1.6968;
-186.0000;1.0460;1.7044;
-185.7000;1.0435;1.6993;
-185.4000;1.0427;1.7069;
-185.1000;1.0444;1.7019;
-184.8000;1.0435;1.6993;
-184.5000;1.0435;1.6968;
-184.2000;1.0435;1.6968;
-183.9000;1.0427;1.6942;
-183.6000;1.0435;1.7044;
-183.3000;1.0435;1.7120;
-183.0000;1.0411;1.6942;
-182.7000;1.0379;1.6917;
-182.4000;1.0411;1.6993;
-182.1000;1.0435;1.7044;
-181.8000;1.0444;1.7044;
-181.5000;1.0427;1.7044;
-181.2000;1.0435;1.7019;
-180.9000;1.0452;1.6993;
-180.6000;1.0419;1.6841;
-180.3000;1.0419;1.6816;
-180.0000;1.0444;1.6866;
-179.7000;1.0427;1.6841;
-179.4000;1.0444;1.6866;
-179.1000;1.0452;1.6892;
-178.8000;1.0444;1.6968;
-178.5000;1.0427;1.7044;
-178.2000;1.0435;1.7019;
-177.9000;1.0427;1.7019;
-177.6000;1.0419;1.7069;
-177.3000;1.0435;1.7120;
-177.0000;1.0435;1.7044;
-176.7000;1.0427;1.6968;
-176.4000;1.0444;1.6968;
-176.1000;1.0460;1.6942;
-175.8000;1.0435;1.6993;
-175.5000;1.0444;1.7044;
-175.2000;1.0435;1.7044;
-174.9000;1.0427;1.7095;
-174.6000;1.0427;1.7069;
-174.3000;1.0435;1.6968;
-174.0000;1.0419;1.6841;
-173.7000;1.0403;1.6917;
-173.4000;1.0427;1.6892;
-173.1000;1.0427;1.6765;
-172.8000;1.0419;1.6765;
-172.5000;1.0427;1.6816;
-172.2000;1.0435;1.6816;
-171.9000;1.0387;1.6740;
-171.6000;1.0411;1.6790;
-171.3000;1.0419;1.6816;
-171.0000;1.0387;1.6714;
-170.7000;1.0419;1.6765;
-170.4000;1.0427;1.6765;
-170.1000;1.0427;1.6765;
-169.8000;1.0435;1.6790;
-169.5000;1.0411;1.6816;
-169.2000;1.0444;1.6892;
-168.9000;1.0444;1.6942;
-168.6000;1.0435;1.6942;
-168.3000;1.0427;1.7019;
-168.0000;1.0509;1.7044;
-167.7000;1.0476;1.7044;
-167.4000;1.0419;1.6942;
-167.1000;1.0444;1.6993;
-166.8000;1.0435;1.6917;
-166.5000;1.0533;1.7221;
-166.2000;1.0427;1.7069;
-165.9000;1.0444;1.7145;
-165.6000;1.0444;1.7221;
-165.3000;1.0427;1.7247;
-165.0000;1.0427;1.7095;
-164.7000;1.0427;1.7069;
-164.4000;1.0444;1.7095;
-164.1000;1.0435;1.7044;
-163.8000;1.0427;1.7095;
-163.5000;1.0427;1.7095;
-163.2000;1.0427;1.7120;
-162.9000;1.0427;1.7095;
-162.6000;1.0338;1.6841;
-162.3000;1.0419;1.7069;
-162.0000;1.0435;1.7095;
-161.7000;1.0435;1.7120;
-161.4000;1.0427;1.7044;
-161.1000;1.0427;1.7069;
-160.8000;1.0419;1.7019;
-160.5000;1.0387;1.6942;
-160.2000;1.0427;1.7120;
-159.9000;1.0419;1.7095;
-159.6000;1.0427;1.7069;
-159.3000;1.0444;1.7095;
-159.0000;1.0435;1.7019;
-158.7000;1.0435;1.7069;
-158.4000;1.0427;1.7145;
-158.1000;1.0444;1.7272;
-157.8000;1.0419;1.7120;
-157.5000;1.0435;1.7095;
-157.2000;1.0427;1.7044;
-156.9000;1.0427;1.7044;
-156.6000;1.0419;1.7044;
-156.3000;1.0427;1.7095;
-156.0000;1.0427;1.7120;
-155.7000;1.0444;1.7196;
-155.4000;1.0444;1.7272;
-155.1000;1.0419;1.7298;
-154.8000;1.0435;1.7348;
-154.5000;1.0582;1.7779;
-154.2000;1.0435;1.7450;
-153.9000;1.0435;1.7424;
-153.6000;1.0435;1.7399;
-153.3000;1.0427;1.7348;
-153.0000;1.0444;1.7323;
-152.7000;1.0427;1.7221;
-152.4000;1.0541;1.7500;
-152.1000;1.0419;1.7196;
-151.8000;1.0427;1.7221;
-151.5000;1.0395;1.7120;
-151.2000;1.0427;1.7196;
-150.9000;1.0419;1.7120;
-150.6000;1.0444;1.7171;
-150.3000;1.0444;1.7171;
-150.0000;1.0289;1.6790;
-149.7000;1.0435;1.7120;
-149.4000;1.0419;1.7069;
-149.1000;1.0435;1.7171;
-148.8000;1.0444;1.7221;
-148.5000;1.0411;1.7095;
-148.2000;1.0435;1.7044;
-147.9000;1.0444;1.7120;
-147.6000;1.0411;1.7145;
-147.3000;1.0403;1.7196;
-147.0000;1.0427;1.7221;
-146.7000;1.0403;1.7095;
-146.4000;1.0452;1.7298;
-146.1000;1.0419;1.7272;
-145.8000;1.0419;1.7374;
-145.5000;1.0419;1.7323;
-145.2000;1.0419;1.7348;
-144.9000;1.0419;1.7298;
-144.6000;1.0435;1.7348;
-144.3000;1.0427;1.7323;
-144.0000;1.0427;1.7247;
-143.7000;1.0395;1.7247;
-143.4000;1.0435;1.7323;
-143.1000;1.0435;1.7323;
-142.8000;1.0435;1.7348;
-142.5000;1.0435;1.7424;
-142.2000;1.0435;1.7424;
-141.9000;1.0452;1.7450;
-141.6000;1.0419;1.7399;
-141.3000;1.0444;1.7399;
-141.0000;1.0427;1.7247;
-140.7000;1.0492;1.7323;
-140.4000;1.0419;1.7196;
-140.1000;1.0435;1.7298;
-139.8000;1.0444;1.7272;
-139.5000;1.0492;1.7374;
-139.2000;1.0444;1.7272;
-138.9000;1.0444;1.7272;
-138.6000;1.0435;1.7196;
-138.3000;1.0427;1.7171;
-138.0000;1.0435;1.7247;
-137.7000;1.0427;1.7247;
-137.4000;1.0435;1.7323;
-137.1000;1.0427;1.7323;
-136.8000;1.0387;1.7196;
-136.5000;1.0411;1.7323;
-136.2000;1.0452;1.7374;
-135.9000;1.0452;1.7298;
-135.6000;1.0444;1.7323;
-135.3000;1.0427;1.7221;
-135.0000;1.0452;1.7323;
-134.7000;1.0444;1.7374;
-134.4000;1.0435;1.7323;
-134.1000;1.0435;1.7272;
-133.8000;1.0427;1.7272;
-133.5000;1.0460;1.7399;
-133.2000;1.0435;1.7323;
-132.9000;1.0435;1.7323;
-132.6000;1.0476;1.7450;
-132.3000;1.0492;1.7551;
-132.0000;1.0411;1.7424;
-131.7000;1.0403;1.7424;
-131.4000;1.0435;1.7399;
-131.1000;1.0435;1.7450;
-130.8000;1.0362;1.7272;
-130.5000;1.0427;1.7526;
-130.2000;1.0435;1.7424;
-129.9000;1.0419;1.7374;
-129.6000;1.0460;1.7475;
-129.3000;1.0419;1.7374;
-129.0000;1.0435;1.7348;
-128.7000;1.0452;1.7374;
-128.4000;1.0427;1.7298;
-128.1000;1.0387;1.7272;
-127.8000;1.0419;1.7399;
-127.5000;1.0427;1.7374;
-127.2000;1.0444;1.7399;
-126.9000;1.0411;1.7399;
-126.6000;1.0419;1.7424;
-126.3000;1.0460;1.7450;
-126.0000;1.0419;1.7348;
-125.7000;1.0435;1.7323;
-125.4000;1.0411;1.7196;
-125.1000;1.0403;1.7171;
-124.8000;1.0435;1.7298;
-124.5000;1.0330;1.6968;
