time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.7359;2.0073;
-199.5000;0.7359;2.0023;
-199.2000;0.7350;1.9949;
-198.9000;0.7359;1.9924;
-198.6000;0.7359;1.9949;
-198.3000;0.7367;1.9924;
-198.0000;0.7367;1.9974;
-197.7000;0.7375;1.9949;
-197.4000;0.7359;1.9849;
-197.1000;0.7367;1.9949;
-196.8000;0.7350;2.0023;
-196.5000;0.7342;1.9998;
-196.2000;0.7367;2.0098;
-195.9000;0.7342;1.9974;
-195.6000;0.7334;2.0023;
-195.3000;0.7367;2.0073;
-195.0000;0.7350;2.0123;
-194.7000;0.7367;2.0173;
-194.4000;0.7367;2.0073;
-194.1000;0.7375;2.0148;
-193.8000;0.7359;2.0123;
-193.5000;0.7375;2.0073;
-193.2000;0.7359;2.0023;
-192.9000;0.7359;1.9974;
-192.6000;0.7367;2.0023;
-192.3000;0.7350;2.0023;
-192.0000;0.7359;2.0048;
-191.7000;0.7350;2.0048;
-191.4000;0.7367;2.0073;
-191.1000;0.7367;2.0148;
-190.8000;0.7359;2.0173;
-190.5000;0.7342;2.0222;
-190.2000;0.7367;2.0222;
-189.9000;0.7359;2.0222;
-189.6000;0.7367;2.0222;
-189.3000;0.7359;2.0222;
-189.0000;0.7375;2.0247;
-188.7000;0.7375;2.0322;
-188.4000;0.7367;2.0197;
-188.1000;0.7359;2.0098;
-187.8000;0.7367;1.9998;
-187.5000;0.7326;2.0048;
-187.2000;0.7342;2.0148;
-186.9000;0.7318;2.0098;
-186.6000;0.7334;2.0197;
-186.3000;0.7342;2.0222;
-186.0000;0.7334;2.0247;
-185.7000;0.7326;2.0173;
-185.4000;0.7342;2.0123;
-185.1000;0.7342;2.0098;
-184.8000;0.7350;2.0073;
-184.5000;0.7334;2.0023;
-184.2000;0.7367;2.0197;
-183.9000;0.7342;2.0148;
-183.6000;0.7342;2.0173;
-183.3000;0.7277;2.0023;
-183.0000;0.7342;2.0222;
-182.7000;0.7342;2.0222;
-182.4000;0.7359;2.0272;
-182.1000;0.7342;2.0247;
-181.8000;0.7350;2.0247;
-181.5000;0.7293;2.0123;
-181.2000;0.7326;2.0123;
-180.9000;0.7350;2.0247;
-180.6000;0.7326;2.0297;
-180.3000;0.7399;2.0421;
-180.0000;0.7277;2.0048;
-179.7000;0.7424;2.0396;
-179.4000;0.7359;2.0247;
-179.1000;0.7350;2.0173;
-178.8000;0.7367;2.0148;
-178.5000;0.7359;2.0148;
-178.2000;0.7359;2.0173;
-177.9000;0.7342;2.0222;
-177.6000;0.7334;2.0148;
-177.3000;0.7326;2.0098;
-177.0000;0.7367;2.0197;
-176.7000;0.7359;2.0173;
-176.4000;0.7375;2.0222;
-176.1000;0.7350;2.0222;
-175.8000;0.7367;2.0247;
-175.5000;0.7367;2.0272;
-175.2000;0.7350;2.0272;
-174.9000;0.7350;2.0322;
-174.6000;0.7367;2.0297;
-174.3000;0.7391;2.0222;
-174.0000;0.7367;2.0173;
-173.7000;0.7375;2.0173;
-173.4000;0.7391;2.0247;
-173.1000;0.7359;2.0148;
-172.8000;0.7367;2.0173;
-172.5000;0.7416;2.0222;
-172.2000;0.7375;2.0123;
-171.9000;0.7359;2.0123;
-171.6000;0.7326;2.0123;
-171.3000;0.7367;2.0247;
-171.0000;0.7293;2.0023;
-170.7000;0.7359;2.0247;
-170.4000;0.7342;2.0123;
-170.1000;0.7342;2.0123;
-169.8000;0.7334;2.0197;
-169.5000;0.7375;2.0372;
-169.2000;0.7375;2.0272;
-168.9000;0.7350;2.0222;
-168.6000;0.7350;2.0148;
-168.3000;0.7350;2.0173;
-168.0000;0.7391;2.0222;
-167.7000;0.7334;2.0048;
-167.4000;0.7367;2.0098;
-167.1000;0.7359;2.0073;
-166.8000;0.7350;1.9998;
-166.5000;0.7399;2.0123;
-166.2000;0.7375;2.0073;
-165.9000;0.7375;2.0048;
-165.6000;0.7383;2.0098;
-165.3000;0.7375;2.0148;
-165.0000;0.7359;2.0148;
-164.7000;0.7367;2.0197;
-164.4000;0.7391;2.0297;
-164.1000;0.7367;2.0222;
-163.8000;0.7350;2.0222;
-163.5000;0.7383;2.0247;
-163.2000;0.7375;2.0197;
-162.9000;0.7367;2.0173;
-162.6000;0.7367;2.0197;
-162.3000;0.7367;2.0197;
-162.0000;0.7375;2.0222;
-161.7000;0.7359;2.0073;
-161.4000;0.7367;2.0173;
-161.1000;0.7350;2.0098;
-160.8000;0.7424;2.0272;
-160.5000;0.7359;2.0173;
-160.2000;0.7326;2.0173;
-159.9000;0.7334;2.0272;
-159.6000;0.7359;2.0222;
-159.3000;0.7383;2.0247;
-159.0000;0.7367;2.0148;
-158.7000;0.7359;2.0173;
-158.4000;0.7326;2.0123;
-158.1000;0.7407;2.0222;
-157.8000;0.7391;2.0173;
-157.5000;0.7342;2.0048;
-157.2000;0.7302;1.9974;
-156.9000;0.7367;2.0123;
-156.6000;0.7440;2.0272;
-156.3000;0.7367;2.0123;
-156.0000;0.7350;2.0148;
-155.7000;0.7350;2.0173;
-155.4000;0.7359;2.0173;
-155.1000;0.7367;2.0148;
-154.8000;0.7391;2.0173;
-154.5000;0.7375;2.0023;
-154.2000;0.7367;1.9974;
-153.9000;0.7350;1.9974;
-153.6000;0.7350;1.9974;
-153.3000;0.7359;1.9924;
-153.0000;0.7375;1.9974;
-152.7000;0.7350;2.0048;
-152.4000;0.7350;2.0098;
-152.1000;0.7367;2.0197;
-151.8000;0.7367;2.0247;
-151.5000;0.7350;2.0222;
-151.2000;0.7367;2.0173;
-150.9000;0.7350;2.0098;
-150.6000;0.7375;2.0098;
-150.3000;0.7375;2.0148;
-150.0000;0.7367;2.0048;
-149.7000;0.7359;2.0173;
-149.4000;0.7359;2.0197;
-149.1000;0.7342;2.0173;
-148.8000;0.7359;2.0197;
-148.5000;0.7359;2.0197;
-148.2000;0.7342;2.0197;
-147.9000;0.7342;2.0173;
-147.6000;0.7367;2.0197;
-147.3000;0.7350;2.0098;
-147.0000;0.7350;2.0048;
-146.7000;0.7334;2.0073;
-146.4000;0.7359;2.0148;
-146.1000;0.7350;2.0073;
-145.8000;0.7334;2.0023;
-145.5000;0.7350;2.0073;
-145.2000;0.7367;2.0197;
-144.9000;0.7342;2.0123;
-144.6000;0.7350;2.0123;
-144.3000;0.7350;2.0123;
-144.0000;0.7391;2.0197;
-143.7000;0.7383;2.0247;
-143.4000;0.7367;2.0197;
-143.1000;0.7359;2.0222;
-142.8000;0.7334;2.0148;
-142.5000;0.7359;2.0222;
-142.2000;0.7359;2.0247;
-141.9000;0.7350;2.0197;
-141.6000;0.7367;2.0272;
-141.3000;0.7375;2.0197;
-141.0000;0.7375;2.0197;
-140.7000;0.7367;2.0272;
-140.4000;0.7367;2.0372;
-140.1000;0.7367;2.0372;
-139.8000;0.7367;2.0396;
-139.5000;0.7350;2.0347;
-139.2000;0.7350;2.0247;
-138.9000;0.7359;2.0297;
-138.6000;0.7342;2.0297;
-138.3000;0.7359;2.0222;
-138.0000;0.7318;2.0123;
-137.7000;0.7359;2.0197;
-137.4000;0.7350;2.0173;
-137.1000;0.7326;2.0173;
-136.8000;0.7342;2.0272;
-136.5000;0.7359;2.0297;
-136.2000;0.7367;2.0347;
-135.9000;0.7350;2.0272;
-135.6000;0.7359;2.0247;
-135.3000;0.7310;2.0073;
-135.0000;0.7302;2.0073;
-134.7000;0.7350;2.0173;
-134.4000;0.7334;2.0098;
-134.1000;0.7342;2.0123;
-133.8000;0.7342;2.0173;
-133.5000;0.7302;2.0098;
-133.2000;0.7350;2.0222;
-132.9000;0.7359;2.0297;
-132.6000;0.7367;2.0322;
-132.3000;0.7367;2.0347;
-132.0000;0.7359;2.0322;
-131.7000;0.7350;2.0322;
-131.4000;0.7383;2.0347;
-131.1000;0.7359;2.0272;
-130.8000;0.7375;2.0347;
