time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.1376;0.8531;
-199.5000;0.1368;0.8507;
-199.2000;0.1368;0.8484;
-198.9000;0.1368;0.8460;
-198.6000;0.1359;0.8484;
-198.3000;0.1368;0.8460;
-198.0000;0.1376;0.8507;
-197.7000;0.1368;0.8531;
-197.4000;0.1359;0.8602;
-197.1000;0.1351;0.8602;
-196.8000;0.1351;0.8555;
-196.5000;0.1368;0.8650;
-196.2000;0.1359;0.8579;
-195.9000;0.1376;0.8650;
-195.6000;0.1359;0.8650;
-195.3000;0.1351;0.8650;
-195.0000;0.1376;0.8768;
-194.7000;0.1359;0.8697;
-194.4000;0.1343;0.8602;
-194.1000;0.1368;0.8650;
-193.8000;0.1376;0.8744;
-193.5000;0.1376;0.8744;
-193.2000;0.1351;0.8673;
-192.9000;0.1368;0.8744;
-192.6000;0.1376;0.8815;
-192.3000;0.1359;0.8697;
-192.0000;0.1351;0.8626;
-191.7000;0.1368;0.8579;
-191.4000;0.1392;0.8650;
-191.1000;0.1376;0.8602;
-190.8000;0.1384;0.8626;
-190.5000;0.1368;0.8602;
-190.2000;0.1368;0.8602;
-189.9000;0.1376;0.8579;
-189.6000;0.1368;0.8579;
-189.3000;0.1416;0.8839;
-189.0000;0.1359;0.8673;
-188.7000;0.1368;0.8721;
-188.4000;0.1343;0.8697;
-188.1000;0.1368;0.8626;
-187.8000;0.1368;0.8602;
-187.5000;0.1359;0.8650;
-187.2000;0.1376;0.8650;
-186.9000;0.1359;0.8650;
-186.6000;0.1359;0.8626;
-186.3000;0.1368;0.8555;
-186.0000;0.1392;0.8531;
-185.7000;0.1368;0.8413;
-185.4000;0.1368;0.8484;
-185.1000;0.1368;0.8413;
-184.8000;0.1351;0.8389;
-184.5000;0.1425;0.8650;
-184.2000;0.1368;0.8579;
-183.9000;0.1359;0.8650;
-183.6000;0.1376;0.8650;
-183.3000;0.1441;0.8863;
-183.0000;0.1368;0.8602;
-182.7000;0.1351;0.8650;
-182.4000;0.1343;0.8650;
-182.1000;0.1359;0.8697;
-181.8000;0.1368;0.8697;
-181.5000;0.1343;0.8555;
-181.2000;0.1368;0.8602;
-180.9000;0.1376;0.8673;
-180.6000;0.1368;0.8650;
-180.3000;0.1359;0.8555;
-180.0000;0.1384;0.8531;
-179.7000;0.1384;0.8579;
-179.4000;0.1457;0.8768;
-179.1000;0.1384;0.8531;
-178.8000;0.1343;0.8484;
-178.5000;0.1384;0.8626;
-178.2000;0.1376;0.8650;
-177.9000;0.1368;0.8650;
-177.6000;0.1368;0.8673;
-177.3000;0.1376;0.8626;
-177.0000;0.1351;0.8579;
