time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.1302;0.8815;
-199.5000;0.1302;0.8863;
-199.2000;0.1294;0.8815;
-198.9000;0.1294;0.8910;
-198.6000;0.1302;0.8910;
-198.3000;0.1351;0.9029;
-198.0000;0.1294;0.8768;
-197.7000;0.1286;0.8768;
-197.4000;0.1302;0.8792;
-197.1000;0.1302;0.8768;
-196.8000;0.1294;0.8863;
-196.5000;0.1311;0.8981;
-196.2000;0.1302;0.8958;
-195.9000;0.1286;0.8863;
-195.6000;0.1302;0.8958;
-195.3000;0.1294;0.8934;
-195.0000;0.1294;0.8887;
-194.7000;0.1302;0.8839;
-194.4000;0.1278;0.8792;
-194.1000;0.1286;0.8744;
-193.8000;0.1311;0.8697;
-193.5000;0.1359;0.8815;
-193.2000;0.1294;0.8721;
-192.9000;0.1294;0.8744;
-192.6000;0.1294;0.8673;
-192.3000;0.1302;0.8673;
-192.0000;0.1294;0.8673;
-191.7000;0.1311;0.8602;
-191.4000;0.1311;0.8626;
-191.1000;0.1319;0.8626;
-190.8000;0.1311;0.8697;
-190.5000;0.1254;0.8507;
-190.2000;0.1294;0.8555;
-189.9000;0.1327;0.8626;
-189.6000;0.1286;0.8531;
-189.3000;0.1376;0.8721;
-189.0000;0.1286;0.8531;
-188.7000;0.1311;0.8579;
-188.4000;0.1351;0.8673;
-188.1000;0.1254;0.8507;
-187.8000;0.1343;0.8744;
-187.5000;0.1286;0.8602;
-187.2000;0.1286;0.8602;
-186.9000;0.1294;0.8555;
-186.6000;0.1294;0.8650;
-186.3000;0.1294;0.8792;
-186.0000;0.1254;0.8579;
-185.7000;0.1286;0.8744;
-185.4000;0.1286;0.8626;
-185.1000;0.1286;0.8697;
-184.8000;0.1286;0.8768;
-184.5000;0.1319;0.8768;
-184.2000;0.1335;0.8863;
-183.9000;0.1302;0.8815;
-183.6000;0.1294;0.8792;
-183.3000;0.1286;0.8744;
-183.0000;0.1278;0.8626;
-182.7000;0.1294;0.8650;
-182.4000;0.1286;0.8650;
-182.1000;0.1294;0.8721;
-181.8000;0.1278;0.8744;
-181.5000;0.1278;0.8768;
-181.2000;0.1262;0.8721;
-180.9000;0.1384;0.8981;
-180.6000;0.1294;0.8839;
-180.3000;0.1278;0.8910;
-180.0000;0.1294;0.8887;
-179.7000;0.1286;0.8910;
-179.4000;0.1237;0.8815;
-179.1000;0.1302;0.8934;
-178.8000;0.1262;0.8863;
-178.5000;0.1286;0.8887;
-178.2000;0.1302;0.8887;
-177.9000;0.1319;0.8934;
-177.6000;0.1311;0.8863;
-177.3000;0.1286;0.8815;
-177.0000;0.1302;0.8839;
-176.7000;0.1302;0.8887;
-176.4000;0.1294;0.8887;
-176.1000;0.1278;0.8768;
-175.8000;0.1294;0.8815;
-175.5000;0.1262;0.8863;
-175.2000;0.1286;0.8910;
-174.9000;0.1302;0.8887;
-174.6000;0.1302;0.8910;
-174.3000;0.1311;0.8887;
-174.0000;0.1294;0.8792;
-173.7000;0.1294;0.8768;
-173.4000;0.1311;0.8815;
-173.1000;0.1311;0.8839;
-172.8000;0.1302;0.8839;
-172.5000;0.1302;0.8863;
-172.2000;0.1229;0.8673;
-171.9000;0.1294;0.8815;
-171.6000;0.1294;0.8697;
-171.3000;0.1286;0.8768;
-171.0000;0.1294;0.8744;
-170.7000;0.1294;0.8721;
-170.4000;0.1254;0.8697;
-170.1000;0.1311;0.8744;
-169.8000;0.1302;0.8697;
-169.5000;0.1319;0.8768;
-169.2000;0.1311;0.8768;
-168.9000;0.1278;0.8697;
-168.6000;0.1286;0.8768;
-168.3000;0.1311;0.8744;
-168.0000;0.1302;0.8721;
-167.7000;0.1302;0.8744;
-167.4000;0.1294;0.8721;
-167.1000;0.1302;0.8744;
-166.8000;0.1302;0.8744;
-166.5000;0.1294;0.8768;
-166.2000;0.1302;0.8602;
-165.9000;0.1294;0.8602;
-165.6000;0.1294;0.8697;
-165.3000;0.1311;0.8697;
-165.0000;0.1294;0.8721;
-164.7000;0.1302;0.8650;
-164.4000;0.1384;0.8934;
-164.1000;0.1319;0.8863;
-163.8000;0.1302;0.8768;
-163.5000;0.1286;0.8768;
-163.2000;0.1229;0.8602;
-162.9000;0.1237;0.8507;
-162.6000;0.1286;0.8697;
-162.3000;0.1302;0.8721;
-162.0000;0.1286;0.8768;
-161.7000;0.1302;0.8839;
-161.4000;0.1302;0.8744;
-161.1000;0.1294;0.8697;
-160.8000;0.1286;0.8721;
-160.5000;0.1294;0.8792;
-160.2000;0.1221;0.8650;
-159.9000;0.1311;0.8792;
-159.6000;0.1278;0.8744;
-159.3000;0.1294;0.8744;
-159.0000;0.1294;0.8744;
-158.7000;0.1294;0.8744;
-158.4000;0.1286;0.8768;
-158.1000;0.1286;0.8792;
-157.8000;0.1286;0.8768;
-157.5000;0.1294;0.8768;
