time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.3386;2.3663;
-199.5000;0.3386;2.3613;
-199.2000;0.3419;2.3613;
-198.9000;0.3386;2.3489;
-198.6000;0.3394;2.3489;
-198.3000;0.3427;2.3663;
-198.0000;0.3403;2.3539;
-197.7000;0.3354;2.3389;
-197.4000;0.3362;2.3339;
-197.1000;0.3386;2.3489;
-196.8000;0.3386;2.3563;
-196.5000;0.3386;2.3663;
-196.2000;0.3394;2.3613;
-195.9000;0.3394;2.3688;
-195.6000;0.3378;2.3663;
-195.3000;0.3394;2.3788;
-195.0000;0.3435;2.3837;
-194.7000;0.3378;2.3713;
-194.4000;0.3394;2.3788;
-194.1000;0.3411;2.3788;
-193.8000;0.3394;2.3638;
-193.5000;0.3394;2.3613;
-193.2000;0.3411;2.3688;
-192.9000;0.3411;2.3738;
-192.6000;0.3394;2.3738;
-192.3000;0.3386;2.3663;
-192.0000;0.3386;2.3663;
-191.7000;0.3411;2.3663;
-191.4000;0.3394;2.3588;
-191.1000;0.3394;2.3588;
-190.8000;0.3403;2.3588;
-190.5000;0.3394;2.3638;
-190.2000;0.3394;2.3763;
-189.9000;0.3370;2.3663;
-189.6000;0.3386;2.3638;
-189.3000;0.3378;2.3613;
-189.0000;0.3394;2.3688;
-188.7000;0.3394;2.3738;
-188.4000;0.3403;2.3738;
-188.1000;0.3403;2.3788;
-187.8000;0.3451;2.3912;
-187.5000;0.3403;2.3788;
-187.2000;0.3386;2.3713;
-186.9000;0.3394;2.3788;
-186.6000;0.3411;2.3837;
-186.3000;0.3403;2.3788;
-186.0000;0.3403;2.3738;
-185.7000;0.3394;2.3688;
-185.4000;0.3411;2.3713;
-185.1000;0.3394;2.3788;
-184.8000;0.3403;2.3813;
-184.5000;0.3394;2.3713;
-184.2000;0.3411;2.3713;
-183.9000;0.3403;2.3613;
-183.6000;0.3403;2.3638;
-183.3000;0.3370;2.3588;
-183.0000;0.3394;2.3638;
-182.7000;0.3378;2.3713;
-182.4000;0.3346;2.3588;
-182.1000;0.3329;2.3464;
-181.8000;0.3394;2.3563;
-181.5000;0.3394;2.3539;
-181.2000;0.3386;2.3489;
-180.9000;0.3370;2.3539;
-180.6000;0.3386;2.3638;
-180.3000;0.3394;2.3663;
-180.0000;0.3386;2.3663;
-179.7000;0.3378;2.3763;
-179.4000;0.3394;2.3813;
-179.1000;0.3394;2.3713;
-178.8000;0.3451;2.3788;
-178.5000;0.3386;2.3539;
-178.2000;0.3394;2.3539;
-177.9000;0.3386;2.3588;
-177.6000;0.3386;2.3563;
-177.3000;0.3411;2.3539;
-177.0000;0.3386;2.3414;
-176.7000;0.3394;2.3489;
-176.4000;0.3403;2.3563;
-176.1000;0.3451;2.3638;
-175.8000;0.3411;2.3514;
-175.5000;0.3411;2.3539;
-175.2000;0.3427;2.3613;
-174.9000;0.3411;2.3613;
-174.6000;0.3362;2.3389;
-174.3000;0.3386;2.3414;
-174.0000;0.3411;2.3489;
-173.7000;0.3411;2.3588;
-173.4000;0.3403;2.3663;
-173.1000;0.3403;2.3688;
-172.8000;0.3378;2.3688;
-172.5000;0.3386;2.3738;
-172.2000;0.3386;2.3613;
-171.9000;0.3394;2.3688;
-171.6000;0.3394;2.3713;
-171.3000;0.3370;2.3588;
-171.0000;0.3394;2.3638;
-170.7000;0.3386;2.3563;
-170.4000;0.3386;2.3688;
-170.1000;0.3313;2.3514;
-169.8000;0.3394;2.3638;
-169.5000;0.3394;2.3638;
-169.2000;0.3394;2.3663;
-168.9000;0.3419;2.3738;
-168.6000;0.3394;2.3688;
-168.3000;0.3403;2.3638;
-168.0000;0.3378;2.3588;
-167.7000;0.3370;2.3688;
-167.4000;0.3394;2.3713;
-167.1000;0.3394;2.3713;
-166.8000;0.3386;2.3713;
-166.5000;0.3386;2.3688;
-166.2000;0.3394;2.3763;
-165.9000;0.3394;2.3738;
-165.6000;0.3370;2.3638;
-165.3000;0.3394;2.3663;
-165.0000;0.3419;2.3713;
-164.7000;0.3403;2.3638;
-164.4000;0.3403;2.3613;
-164.1000;0.3411;2.3613;
-163.8000;0.3394;2.3663;
-163.5000;0.3411;2.3663;
-163.2000;0.3411;2.3563;
-162.9000;0.3394;2.3563;
-162.6000;0.3403;2.3688;
-162.3000;0.3394;2.3613;
-162.0000;0.3386;2.3613;
-161.7000;0.3403;2.3663;
-161.4000;0.3394;2.3763;
-161.1000;0.3394;2.3788;
-160.8000;0.3403;2.3788;
-160.5000;0.3403;2.3813;
-160.2000;0.3370;2.3663;
-159.9000;0.3394;2.3713;
-159.6000;0.3411;2.3588;
-159.3000;0.3394;2.3539;
-159.0000;0.3419;2.3613;
-158.7000;0.3411;2.3638;
-158.4000;0.3427;2.3763;
-158.1000;0.3346;2.3464;
-157.8000;0.3394;2.3688;
-157.5000;0.3403;2.3738;
-157.2000;0.3427;2.3788;
-156.9000;0.3403;2.3788;
-156.6000;0.3411;2.3837;
-156.3000;0.3403;2.3788;
-156.0000;0.3394;2.3837;
-155.7000;0.3394;2.3788;
-155.4000;0.3394;2.3763;
-155.1000;0.3403;2.3738;
-154.8000;0.3394;2.3663;
-154.5000;0.3403;2.3539;
-154.2000;0.3419;2.3588;
-153.9000;0.3411;2.3638;
-153.6000;0.3403;2.3713;
-153.3000;0.3394;2.3663;
-153.0000;0.3329;2.3489;
-152.7000;0.3394;2.3713;
-152.4000;0.3386;2.3763;
-152.1000;0.3394;2.3788;
-151.8000;0.3386;2.3788;
-151.5000;0.3394;2.3763;
-151.2000;0.3394;2.3763;
-150.9000;0.3386;2.3763;
-150.6000;0.3386;2.3588;
-150.3000;0.3403;2.3613;
-150.0000;0.3411;2.3613;
-149.7000;0.3378;2.3464;
-149.4000;0.3394;2.3439;
-149.1000;0.3394;2.3464;
-148.8000;0.3484;2.3613;
-148.5000;0.3403;2.3439;
-148.2000;0.3419;2.3439;
-147.9000;0.3386;2.3364;
-147.6000;0.3394;2.3339;
-147.3000;0.3460;2.3563;
-147.0000;0.3394;2.3464;
-146.7000;0.3403;2.3489;
-146.4000;0.3378;2.3439;
-146.1000;0.3394;2.3514;
-145.8000;0.3419;2.3539;
-145.5000;0.3394;2.3439;
-145.2000;0.3394;2.3439;
-144.9000;0.3394;2.3439;
-144.6000;0.3403;2.3464;
-144.3000;0.3419;2.3588;
-144.0000;0.3419;2.3638;
-143.7000;0.3411;2.3638;
-143.4000;0.3394;2.3613;
-143.1000;0.3403;2.3613;
-142.8000;0.3394;2.3613;
-142.5000;0.3394;2.3638;
-142.2000;0.3394;2.3688;
-141.9000;0.3476;2.3937;
-141.6000;0.3394;2.3688;
-141.3000;0.3386;2.3638;
-141.0000;0.3378;2.3638;
-140.7000;0.3403;2.3738;
-140.4000;0.3394;2.3663;
-140.1000;0.3394;2.3588;
-139.8000;0.3394;2.3613;
-139.5000;0.3403;2.3713;
-139.2000;0.3386;2.3788;
-138.9000;0.3394;2.3837;
-138.6000;0.3386;2.3887;
-138.3000;0.3394;2.3912;
-138.0000;0.3403;2.3887;
-137.7000;0.3378;2.3813;
-137.4000;0.3394;2.3862;
-137.1000;0.3386;2.3788;
-136.8000;0.3394;2.3788;
-136.5000;0.3362;2.3663;
-136.2000;0.3378;2.3788;
-135.9000;0.3370;2.3837;
-135.6000;0.3394;2.3887;
-135.3000;0.3403;2.3837;
-135.0000;0.3370;2.3813;
-134.7000;0.3313;2.3713;
-134.4000;0.3394;2.3912;
-134.1000;0.3362;2.3837;
-133.8000;0.3403;2.3887;
-133.5000;0.3394;2.3862;
-133.2000;0.3362;2.3862;
-132.9000;0.3386;2.3987;
-132.6000;0.3403;2.3962;
-132.3000;0.3403;2.3962;
-132.0000;0.3403;2.3937;
-131.7000;0.3411;2.3962;
-131.4000;0.3403;2.4012;
-131.1000;0.3403;2.4062;
-130.8000;0.3403;2.3987;
-130.5000;0.3403;2.3937;
-130.2000;0.3370;2.3887;
-129.9000;0.3394;2.3962;
-129.6000;0.3394;2.3912;
-129.3000;0.3394;2.3912;
-129.0000;0.3411;2.3962;
-128.7000;0.3346;2.3788;
-128.4000;0.3386;2.3837;
-128.1000;0.3427;2.3912;
-127.8000;0.3378;2.3763;
-127.5000;0.3386;2.3837;
-127.2000;0.3419;2.3912;
-126.9000;0.3403;2.3887;
-126.6000;0.3337;2.3813;
-126.3000;0.3378;2.3937;
-126.0000;0.3386;2.3912;
-125.7000;0.3386;2.3962;
-125.4000;0.3386;2.3912;
-125.1000;0.3419;2.4037;
-124.8000;0.3354;2.3887;
-124.5000;0.3394;2.3837;
-124.2000;0.3403;2.3887;
-123.9000;0.3411;2.4062;
-123.6000;0.3378;2.4062;
-123.3000;0.3378;2.4211;
-123.0000;0.3419;2.4236;
-122.7000;0.3394;2.4211;
-122.4000;0.3403;2.4136;
-122.1000;0.3394;2.4136;
-121.8000;0.3386;2.4012;
-121.5000;0.3394;2.3912;
-121.2000;0.3419;2.4037;
-120.9000;0.3386;2.4037;
-120.6000;0.3378;2.4062;
-120.3000;0.3394;2.4012;
-120.0000;0.3403;2.4037;
-119.7000;0.3394;2.4012;
-119.4000;0.3394;2.4012;
-119.1000;0.3386;2.4037;
-118.8000;0.3394;2.4087;
-118.5000;0.3378;2.4062;
-118.2000;0.3403;2.3937;
-117.9000;0.3386;2.3837;
-117.6000;0.3394;2.3837;
-117.3000;0.3403;2.3813;
-117.0000;0.3403;2.3788;
-116.7000;0.3378;2.3738;
-116.4000;0.3403;2.3788;
-116.1000;0.3403;2.3862;
-115.8000;0.3386;2.3813;
-115.5000;0.3419;2.3862;
-115.2000;0.3386;2.3663;
-114.9000;0.3329;2.3489;
-114.6000;0.3394;2.3688;
-114.3000;0.3378;2.3688;
-114.0000;0.3394;2.3688;
-113.7000;0.3403;2.3738;
-113.4000;0.3394;2.3688;
-113.1000;0.3394;2.3738;
-112.8000;0.3394;2.3688;
-112.5000;0.3386;2.3763;
-112.2000;0.3403;2.3763;
-111.9000;0.3378;2.3738;
-111.6000;0.3370;2.3763;
-111.3000;0.3394;2.3862;
-111.0000;0.3394;2.3837;
-110.7000;0.3443;2.3987;
-110.4000;0.3378;2.3813;
-110.1000;0.3403;2.3788;
-109.8000;0.3394;2.3788;
-109.5000;0.3394;2.3788;
-109.2000;0.3305;2.3613;
-108.9000;0.3386;2.3837;
-108.6000;0.3411;2.3887;
-108.3000;0.3403;2.3813;
-108.0000;0.3411;2.3912;
-107.7000;0.3403;2.3788;
-107.4000;0.3411;2.3887;
-107.1000;0.3427;2.3987;
-106.8000;0.3394;2.3813;
-106.5000;0.3403;2.3837;
-106.2000;0.3386;2.3763;
-105.9000;0.3411;2.3763;
-105.6000;0.3386;2.3663;
-105.3000;0.3403;2.3688;
-105.0000;0.3403;2.3713;
-104.7000;0.3411;2.3738;
-104.4000;0.3394;2.3613;
-104.1000;0.3378;2.3489;
-103.8000;0.3403;2.3663;
-103.5000;0.3362;2.3613;
-103.2000;0.3411;2.3713;
-102.9000;0.3394;2.3663;
-102.6000;0.3370;2.3688;
-102.3000;0.3394;2.3763;
-102.0000;0.3394;2.3763;
-101.7000;0.3394;2.3713;
-101.4000;0.3394;2.3738;
-101.1000;0.3394;2.3713;
-100.8000;0.3386;2.3738;
-100.5000;0.3386;2.3688;
-100.2000;0.3403;2.3638;
-99.9000;0.3419;2.3663;
-99.6000;0.3394;2.3563;
-99.3000;0.3403;2.3613;
-99.0000;0.3403;2.3713;
-98.7000;0.3394;2.3688;
-98.4000;0.3411;2.3713;
-98.1000;0.3419;2.3663;
-97.8000;0.3403;2.3663;
-97.5000;0.3411;2.3713;
-97.2000;0.3386;2.3638;
-96.9000;0.3394;2.3788;
-96.6000;0.3403;2.3862;
-96.3000;0.3394;2.3837;
-96.0000;0.3386;2.3763;
-95.7000;0.3394;2.3713;
-95.4000;0.3386;2.3688;
-95.1000;0.3394;2.3663;
-94.8000;0.3427;2.3713;
-94.5000;0.3403;2.3613;
-94.2000;0.3411;2.3663;
-93.9000;0.3403;2.3638;
-93.6000;0.3394;2.3688;
-93.3000;0.3411;2.3638;
-93.0000;0.3394;2.3588;
-92.7000;0.3411;2.3763;
-92.4000;0.3403;2.3738;
-92.1000;0.3411;2.3837;
-91.8000;0.3403;2.3837;
