time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.1506;-1.6557;
-199.5000;0.1465;-1.6758;
-199.2000;0.1473;-1.6733;
-198.9000;0.1490;-1.6607;
-198.6000;0.1473;-1.6632;
-198.3000;0.1376;-1.6908;
-198.0000;0.1473;-1.6607;
-197.7000;0.1465;-1.6682;
-197.4000;0.1425;-1.6808;
-197.1000;0.1473;-1.6682;
-196.8000;0.1449;-1.6833;
-196.5000;0.1473;-1.6783;
-196.2000;0.1498;-1.6733;
-195.9000;0.1441;-1.6908;
-195.6000;0.1490;-1.6707;
-195.3000;0.1490;-1.6758;
-195.0000;0.1514;-1.6783;
-194.7000;0.1522;-1.6758;
-194.4000;0.1522;-1.6733;
-194.1000;0.1490;-1.6783;
-193.8000;0.1498;-1.6707;
-193.5000;0.1465;-1.6733;
-193.2000;0.1514;-1.6607;
-192.9000;0.1506;-1.6707;
-192.6000;0.1473;-1.6758;
-192.3000;0.1530;-1.6707;
-192.0000;0.1604;-1.6482;
-191.7000;0.1481;-1.6733;
-191.4000;0.1433;-1.6883;
-191.1000;0.1481;-1.6707;
-190.8000;0.1514;-1.6582;
-190.5000;0.1490;-1.6657;
-190.2000;0.1498;-1.6607;
-189.9000;0.1490;-1.6632;
-189.6000;0.1514;-1.6532;
-189.3000;0.1490;-1.6582;
-189.0000;0.1506;-1.6557;
-188.7000;0.1506;-1.6557;
-188.4000;0.1465;-1.6758;
-188.1000;0.1498;-1.6733;
-187.8000;0.1538;-1.6632;
-187.5000;0.1457;-1.6707;
-187.2000;0.1490;-1.6632;
-186.9000;0.1498;-1.6707;
-186.6000;0.1498;-1.6682;
-186.3000;0.1473;-1.6682;
-186.0000;0.1490;-1.6682;
-185.7000;0.1490;-1.6607;
-185.4000;0.1522;-1.6507;
-185.1000;0.1490;-1.6657;
-184.8000;0.1481;-1.6733;
-184.5000;0.1481;-1.6582;
-184.2000;0.1522;-1.6582;
-183.9000;0.1481;-1.6707;
-183.6000;0.1457;-1.6833;
-183.3000;0.1490;-1.6758;
-183.0000;0.1490;-1.6908;
-182.7000;0.1473;-1.7034;
-182.4000;0.1465;-1.7008;
-182.1000;0.1490;-1.6933;
-181.8000;0.1514;-1.6883;
-181.5000;0.1481;-1.6908;
-181.2000;0.1473;-1.6858;
-180.9000;0.1457;-1.6958;
-180.6000;0.1473;-1.6833;
-180.3000;0.1498;-1.6733;
-180.0000;0.1465;-1.6833;
-179.7000;0.1514;-1.6707;
-179.4000;0.1547;-1.6607;
-179.1000;0.1506;-1.6682;
-178.8000;0.1490;-1.6758;
-178.5000;0.1457;-1.6883;
-178.2000;0.1457;-1.6858;
-177.9000;0.1481;-1.6733;
-177.6000;0.1481;-1.6783;
-177.3000;0.1481;-1.6707;
-177.0000;0.1481;-1.6733;
-176.7000;0.1449;-1.6758;
-176.4000;0.1481;-1.6632;
-176.1000;0.1465;-1.6607;
-175.8000;0.1481;-1.6507;
-175.5000;0.1433;-1.6707;
-175.2000;0.1530;-1.6507;
-174.9000;0.1506;-1.6607;
-174.6000;0.1400;-1.6883;
-174.3000;0.1490;-1.6632;
-174.0000;0.1465;-1.6657;
-173.7000;0.1612;-1.6331;
-173.4000;0.1457;-1.6657;
-173.1000;0.1473;-1.6707;
-172.8000;0.1514;-1.6632;
-172.5000;0.1473;-1.6657;
-172.2000;0.1433;-1.6707;
-171.9000;0.1481;-1.6582;
-171.6000;0.1498;-1.6582;
-171.3000;0.1481;-1.6657;
-171.0000;0.1522;-1.6632;
-170.7000;0.1481;-1.6808;
-170.4000;0.1530;-1.6707;
-170.1000;0.1595;-1.6457;
-169.8000;0.1506;-1.6507;
-169.5000;0.1506;-1.6482;
-169.2000;0.1604;-1.6206;
-168.9000;0.1490;-1.6457;
-168.6000;0.1481;-1.6507;
-168.3000;0.1498;-1.6607;
-168.0000;0.1547;-1.6557;
-167.7000;0.1481;-1.6733;
-167.4000;0.1473;-1.6707;
-167.1000;0.1547;-1.6482;
-166.8000;0.1473;-1.6607;
-166.5000;0.1490;-1.6532;
-166.2000;0.1473;-1.6557;
-165.9000;0.1449;-1.6657;
-165.6000;0.1457;-1.6657;
-165.3000;0.1490;-1.6632;
-165.0000;0.1473;-1.6682;
-164.7000;0.1433;-1.6758;
-164.4000;0.1473;-1.6758;
-164.1000;0.1490;-1.6758;
-163.8000;0.1514;-1.6657;
-163.5000;0.1514;-1.6657;
-163.2000;0.1473;-1.6657;
-162.9000;0.1481;-1.6657;
-162.6000;0.1498;-1.6707;
-162.3000;0.1481;-1.6758;
-162.0000;0.1481;-1.6758;
-161.7000;0.1563;-1.6557;
-161.4000;0.1433;-1.6883;
-161.1000;0.1514;-1.6657;
-160.8000;0.1449;-1.6833;
-160.5000;0.1490;-1.6833;
-160.2000;0.1473;-1.6833;
-159.9000;0.1481;-1.6783;
-159.6000;0.1498;-1.6908;
-159.3000;0.1457;-1.6883;
-159.0000;0.1473;-1.6682;
-158.7000;0.1498;-1.6657;
-158.4000;0.1490;-1.6557;
-158.1000;0.1498;-1.6432;
-157.8000;0.1490;-1.6432;
-157.5000;0.1490;-1.6457;
-157.2000;0.1481;-1.6607;
-156.9000;0.1473;-1.6632;
-156.6000;0.1506;-1.6632;
-156.3000;0.1481;-1.6858;
-156.0000;0.1490;-1.6908;
-155.7000;0.1465;-1.6958;
-155.4000;0.1490;-1.6883;
-155.1000;0.1473;-1.6908;
