time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.2320;7.2429;
-199.5000;0.2320;7.2406;
-199.2000;0.2328;7.2429;
-198.9000;0.2320;7.2406;
-198.6000;0.2304;7.2452;
-198.3000;0.2320;7.2499;
-198.0000;0.2312;7.2499;
-197.7000;0.2312;7.2452;
-197.4000;0.2320;7.2406;
-197.1000;0.2304;7.2359;
-196.8000;0.2320;7.2312;
-196.5000;0.2336;7.2289;
-196.2000;0.2320;7.2219;
-195.9000;0.2304;7.2219;
-195.6000;0.2328;7.2289;
-195.3000;0.2312;7.2242;
-195.0000;0.2312;7.2312;
-194.7000;0.2320;7.2429;
-194.4000;0.2320;7.2499;
-194.1000;0.2312;7.2429;
-193.8000;0.2328;7.2499;
-193.5000;0.2320;7.2406;
-193.2000;0.2271;7.2219;
-192.9000;0.2328;7.2266;
-192.6000;0.2328;7.2336;
-192.3000;0.2328;7.2359;
-192.0000;0.2304;7.2406;
-191.7000;0.2312;7.2429;
-191.4000;0.2295;7.2406;
-191.1000;0.2328;7.2406;
-190.8000;0.2344;7.2452;
-190.5000;0.2336;7.2429;
-190.2000;0.2328;7.2382;
-189.9000;0.2352;7.2429;
-189.6000;0.2304;7.2359;
-189.3000;0.2312;7.2429;
-189.0000;0.2304;7.2406;
-188.7000;0.2312;7.2452;
-188.4000;0.2304;7.2475;
-188.1000;0.2304;7.2475;
-187.8000;0.2320;7.2475;
-187.5000;0.2304;7.2452;
-187.2000;0.2304;7.2522;
-186.9000;0.2328;7.2592;
-186.6000;0.2320;7.2639;
-186.3000;0.2328;7.2592;
-186.0000;0.2409;7.2825;
-185.7000;0.2320;7.2569;
-185.4000;0.2328;7.2592;
-185.1000;0.2328;7.2545;
-184.8000;0.2401;7.2709;
-184.5000;0.2336;7.2499;
-184.2000;0.2328;7.2499;
-183.9000;0.2336;7.2545;
-183.6000;0.2312;7.2452;
-183.3000;0.2328;7.2499;
-183.0000;0.2263;7.2382;
-182.7000;0.2312;7.2429;
-182.4000;0.2312;7.2452;
-182.1000;0.2304;7.2429;
-181.8000;0.2328;7.2499;
-181.5000;0.2320;7.2499;
-181.2000;0.2312;7.2406;
-180.9000;0.2304;7.2312;
-180.6000;0.2320;7.2359;
-180.3000;0.2336;7.2475;
-180.0000;0.2320;7.2429;
-179.7000;0.2328;7.2406;
-179.4000;0.2320;7.2452;
-179.1000;0.2344;7.2475;
-178.8000;0.2198;7.2033;
-178.5000;0.2328;7.2266;
-178.2000;0.2336;7.2336;
-177.9000;0.2352;7.2359;
-177.6000;0.2336;7.2312;
-177.3000;0.2320;7.2312;
-177.0000;0.2328;7.2336;
-176.7000;0.2312;7.2359;
-176.4000;0.2336;7.2312;
-176.1000;0.2304;7.2196;
-175.8000;0.2336;7.2289;
-175.5000;0.2336;7.2336;
-175.2000;0.2336;7.2406;
-174.9000;0.2320;7.2359;
-174.6000;0.2320;7.2382;
-174.3000;0.2312;7.2336;
-174.0000;0.2328;7.2336;
-173.7000;0.2304;7.2196;
-173.4000;0.2295;7.2173;
-173.1000;0.2312;7.2196;
-172.8000;0.2344;7.2312;
-172.5000;0.2304;7.2312;
-172.2000;0.2295;7.2336;
-171.9000;0.2312;7.2382;
-171.6000;0.2312;7.2382;
-171.3000;0.2320;7.2336;
-171.0000;0.2247;7.2126;
-170.7000;0.2287;7.2266;
-170.4000;0.2320;7.2336;
-170.1000;0.2304;7.2196;
-169.8000;0.2320;7.2173;
-169.5000;0.2304;7.2196;
-169.2000;0.2304;7.2219;
-168.9000;0.2287;7.2126;
-168.6000;0.2304;7.2103;
-168.3000;0.2320;7.2149;
-168.0000;0.2304;7.2219;
-167.7000;0.2247;7.2009;
-167.4000;0.2320;7.2266;
-167.1000;0.2328;7.2266;
-166.8000;0.2263;7.2149;
-166.5000;0.2320;7.2406;
-166.2000;0.2320;7.2312;
-165.9000;0.2320;7.2289;
-165.6000;0.2320;7.2242;
-165.3000;0.2312;7.2219;
-165.0000;0.2336;7.2289;
-164.7000;0.2320;7.2312;
-164.4000;0.2295;7.2336;
-164.1000;0.2312;7.2382;
-163.8000;0.2304;7.2312;
-163.5000;0.2295;7.2312;
-163.2000;0.2295;7.2359;
-162.9000;0.2304;7.2429;
-162.6000;0.2312;7.2406;
-162.3000;0.2295;7.2382;
-162.0000;0.2304;7.2359;
-161.7000;0.2344;7.2499;
-161.4000;0.2328;7.2406;
-161.1000;0.2304;7.2406;
-160.8000;0.2287;7.2289;
-160.5000;0.2336;7.2452;
-160.2000;0.2320;7.2429;
-159.9000;0.2344;7.2545;
-159.6000;0.2352;7.2499;
-159.3000;0.2287;7.2359;
-159.0000;0.2320;7.2429;
-158.7000;0.2344;7.2475;
-158.4000;0.2320;7.2406;
-158.1000;0.2239;7.2219;
-157.8000;0.2247;7.2266;
-157.5000;0.2295;7.2359;
-157.2000;0.2328;7.2406;
-156.9000;0.2393;7.2522;
-156.6000;0.2320;7.2312;
-156.3000;0.2320;7.2219;
-156.0000;0.2312;7.2149;
-155.7000;0.2328;7.2126;
-155.4000;0.2304;7.2126;
-155.1000;0.2304;7.2079;
-154.8000;0.2385;7.2312;
-154.5000;0.2328;7.2196;
-154.2000;0.2263;7.2103;
-153.9000;0.2320;7.2266;
-153.6000;0.2377;7.2382;
-153.3000;0.2312;7.2126;
-153.0000;0.2328;7.2219;
-152.7000;0.2271;7.2173;
-152.4000;0.2344;7.2289;
-152.1000;0.2328;7.2242;
-151.8000;0.2328;7.2359;
-151.5000;0.2328;7.2475;
-151.2000;0.2352;7.2475;
-150.9000;0.2344;7.2499;
-150.6000;0.2271;7.2359;
-150.3000;0.2312;7.2475;
-150.0000;0.2328;7.2406;
-149.7000;0.2320;7.2336;
-149.4000;0.2361;7.2452;
-149.1000;0.2320;7.2359;
-148.8000;0.2312;7.2406;
-148.5000;0.2328;7.2406;
-148.2000;0.2304;7.2289;
-147.9000;0.2263;7.2196;
-147.6000;0.2328;7.2359;
-147.3000;0.2312;7.2336;
-147.0000;0.2377;7.2545;
-146.7000;0.2263;7.2242;
-146.4000;0.2206;7.2079;
-146.1000;0.2263;7.2289;
-145.8000;0.2312;7.2406;
-145.5000;0.2328;7.2499;
-145.2000;0.2328;7.2406;
-144.9000;0.2328;7.2429;
-144.6000;0.2295;7.2336;
-144.3000;0.2336;7.2406;
-144.0000;0.2295;7.2382;
-143.7000;0.2304;7.2336;
-143.4000;0.2336;7.2452;
-143.1000;0.2304;7.2429;
-142.8000;0.2287;7.2382;
-142.5000;0.2328;7.2499;
-142.2000;0.2320;7.2336;
-141.9000;0.2328;7.2429;
-141.6000;0.2328;7.2452;
-141.3000;0.2328;7.2452;
-141.0000;0.2361;7.2475;
-140.7000;0.2312;7.2406;
-140.4000;0.2312;7.2429;
-140.1000;0.2344;7.2475;
-139.8000;0.2320;7.2475;
-139.5000;0.2320;7.2429;
-139.2000;0.2312;7.2406;
-138.9000;0.2320;7.2475;
-138.6000;0.2328;7.2522;
-138.3000;0.2336;7.2545;
-138.0000;0.2312;7.2452;
-137.7000;0.2320;7.2475;
-137.4000;0.2320;7.2382;
-137.1000;0.2320;7.2382;
-136.8000;0.2295;7.2359;
-136.5000;0.2312;7.2336;
-136.2000;0.2304;7.2312;
-135.9000;0.2328;7.2615;
-135.6000;0.2336;7.2709;
-135.3000;0.2304;7.2639;
-135.0000;0.2336;7.2709;
-134.7000;0.2320;7.2662;
-134.4000;0.2312;7.2662;
-134.1000;0.2320;7.2709;
-133.8000;0.2304;7.2615;
-133.5000;0.2328;7.2592;
-133.2000;0.2328;7.2615;
-132.9000;0.2361;7.2685;
-132.6000;0.2336;7.2662;
-132.3000;0.2418;7.3011;
-132.0000;0.2344;7.2918;
-131.7000;0.2295;7.2732;
-131.4000;0.2312;7.2639;
-131.1000;0.2328;7.2569;
-130.8000;0.2336;7.2545;
-130.5000;0.2336;7.2522;
-130.2000;0.2344;7.2522;
-129.9000;0.2352;7.2569;
-129.6000;0.2247;7.2336;
-129.3000;0.2328;7.2615;
-129.0000;0.2328;7.2615;
-128.7000;0.2304;7.2615;
-128.4000;0.2328;7.2685;
-128.1000;0.2377;7.2778;
-127.8000;0.2336;7.2802;
-127.5000;0.2361;7.2988;
-127.2000;0.2336;7.2942;
-126.9000;0.2320;7.2755;
-126.6000;0.2304;7.2662;
-126.3000;0.2320;7.2778;
-126.0000;0.2304;7.2755;
-125.7000;0.2336;7.2895;
-125.4000;0.2352;7.2872;
-125.1000;0.2336;7.2709;
-124.8000;0.2328;7.2639;
-124.5000;0.2418;7.2825;
-124.2000;0.2328;7.2662;
-123.9000;0.2304;7.2639;
-123.6000;0.2304;7.2592;
-123.3000;0.2312;7.2639;
-123.0000;0.2304;7.2592;
-122.7000;0.2320;7.2569;
-122.4000;0.2320;7.2569;
-122.1000;0.2352;7.2615;
-121.8000;0.2295;7.2545;
-121.5000;0.2279;7.2499;
-121.2000;0.2320;7.2615;
-120.9000;0.2239;7.2406;
-120.6000;0.2336;7.2522;
-120.3000;0.2312;7.2475;
-120.0000;0.2312;7.2429;
-119.7000;0.2312;7.2452;
-119.4000;0.2352;7.2522;
-119.1000;0.2320;7.2475;
-118.8000;0.2377;7.2639;
-118.5000;0.2263;7.2359;
-118.2000;0.2312;7.2499;
-117.9000;0.2336;7.2569;
-117.6000;0.2450;7.2778;
-117.3000;0.2312;7.2475;
-117.0000;0.2336;7.2545;
-116.7000;0.2312;7.2522;
-116.4000;0.2361;7.2615;
-116.1000;0.2304;7.2406;
-115.8000;0.2279;7.2406;
-115.5000;0.2271;7.2336;
-115.2000;0.2328;7.2452;
-114.9000;0.2393;7.2662;
-114.6000;0.2320;7.2545;
-114.3000;0.2312;7.2475;
-114.0000;0.2295;7.2382;
-113.7000;0.2328;7.2475;
-113.4000;0.2304;7.2406;
-113.1000;0.2328;7.2452;
-112.8000;0.2279;7.2406;
-112.5000;0.2279;7.2382;
-112.2000;0.2287;7.2359;
-111.9000;0.2312;7.2406;
-111.6000;0.2304;7.2406;
-111.3000;0.2312;7.2522;
-111.0000;0.2295;7.2522;
-110.7000;0.2279;7.2429;
-110.4000;0.2320;7.2452;
-110.1000;0.2287;7.2312;
-109.8000;0.2352;7.2429;
-109.5000;0.2320;7.2336;
-109.2000;0.2320;7.2196;
-108.9000;0.2304;7.2173;
-108.6000;0.2336;7.2336;
-108.3000;0.2304;7.2242;
-108.0000;0.2295;7.2242;
-107.7000;0.2312;7.2312;
-107.4000;0.2304;7.2336;
-107.1000;0.2328;7.2452;
-106.8000;0.2320;7.2499;
-106.5000;0.2336;7.2592;
-106.2000;0.2328;7.2639;
-105.9000;0.2328;7.2592;
-105.6000;0.2304;7.2569;
-105.3000;0.2271;7.2475;
-105.0000;0.2328;7.2592;
-104.7000;0.2304;7.2569;
-104.4000;0.2320;7.2522;
-104.1000;0.2320;7.2429;
-103.8000;0.2312;7.2406;
-103.5000;0.2287;7.2475;
-103.2000;0.2320;7.2569;
