time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.1376;-0.7360;
-199.5000;0.1384;-0.7284;
-199.2000;0.1392;-0.7284;
-198.9000;0.1368;-0.7184;
-198.6000;0.1408;-0.7008;
-198.3000;0.1384;-0.7033;
-198.0000;0.1376;-0.7108;
-197.7000;0.1384;-0.7133;
-197.4000;0.1433;-0.7108;
-197.1000;0.1384;-0.7108;
-196.8000;0.1384;-0.7184;
-196.5000;0.1384;-0.7184;
-196.2000;0.1392;-0.7159;
-195.9000;0.1425;-0.7083;
-195.6000;0.1392;-0.7083;
-195.3000;0.1392;-0.7184;
-195.0000;0.1376;-0.7209;
-194.7000;0.1400;-0.7209;
-194.4000;0.1400;-0.7259;
-194.1000;0.1384;-0.7385;
-193.8000;0.1392;-0.7360;
-193.5000;0.1384;-0.7309;
-193.2000;0.1392;-0.7309;
-192.9000;0.1376;-0.7234;
-192.6000;0.1376;-0.7309;
-192.3000;0.1384;-0.7309;
-192.0000;0.1368;-0.7410;
-191.7000;0.1384;-0.7284;
-191.4000;0.1400;-0.7309;
-191.1000;0.1392;-0.7334;
-190.8000;0.1408;-0.7234;
-190.5000;0.1376;-0.7259;
-190.2000;0.1392;-0.7259;
-189.9000;0.1384;-0.7184;
-189.6000;0.1376;-0.7159;
-189.3000;0.1384;-0.7133;
-189.0000;0.1376;-0.7108;
-188.7000;0.1368;-0.7083;
-188.4000;0.1449;-0.6907;
-188.1000;0.1392;-0.7083;
-187.8000;0.1376;-0.7184;
-187.5000;0.1384;-0.7184;
-187.2000;0.1408;-0.7133;
-186.9000;0.1400;-0.7159;
-186.6000;0.1400;-0.7184;
-186.3000;0.1392;-0.7209;
-186.0000;0.1392;-0.7133;
-185.7000;0.1400;-0.7133;
-185.4000;0.1376;-0.7209;
-185.1000;0.1384;-0.7234;
-184.8000;0.1392;-0.7284;
-184.5000;0.1376;-0.7309;
-184.2000;0.1384;-0.7234;
-183.9000;0.1392;-0.7159;
-183.6000;0.1368;-0.7108;
-183.3000;0.1376;-0.7108;
-183.0000;0.1376;-0.6983;
-182.7000;0.1376;-0.6933;
-182.4000;0.1368;-0.6958;
-182.1000;0.1392;-0.7033;
-181.8000;0.1392;-0.7159;
-181.5000;0.1376;-0.7259;
-181.2000;0.1376;-0.7259;
-180.9000;0.1376;-0.7309;
-180.6000;0.1376;-0.7334;
-180.3000;0.1384;-0.7334;
-180.0000;0.1368;-0.7410;
-179.7000;0.1384;-0.7360;
-179.4000;0.1368;-0.7360;
-179.1000;0.1359;-0.7284;
-178.8000;0.1368;-0.7159;
-178.5000;0.1359;-0.7184;
-178.2000;0.1376;-0.7209;
-177.9000;0.1359;-0.7284;
-177.6000;0.1351;-0.7209;
-177.3000;0.1384;-0.7058;
-177.0000;0.1392;-0.7058;
-176.7000;0.1368;-0.7083;
-176.4000;0.1392;-0.6958;
-176.1000;0.1392;-0.7033;
-175.8000;0.1392;-0.7133;
-175.5000;0.1400;-0.7184;
-175.2000;0.1392;-0.7209;
-174.9000;0.1433;-0.7159;
-174.6000;0.1384;-0.7309;
-174.3000;0.1400;-0.7284;
-174.0000;0.1384;-0.7259;
-173.7000;0.1376;-0.7234;
-173.4000;0.1359;-0.7184;
-173.1000;0.1376;-0.6983;
-172.8000;0.1368;-0.6983;
-172.5000;0.1384;-0.7008;
-172.2000;0.1384;-0.7008;
-171.9000;0.1376;-0.7033;
-171.6000;0.1400;-0.6983;
-171.3000;0.1384;-0.7083;
-171.0000;0.1376;-0.7133;
-170.7000;0.1384;-0.7008;
-170.4000;0.1392;-0.6907;
-170.1000;0.1433;-0.6832;
-169.8000;0.1376;-0.6933;
-169.5000;0.1376;-0.7108;
-169.2000;0.1384;-0.7133;
-168.9000;0.1384;-0.7133;
-168.6000;0.1384;-0.7234;
-168.3000;0.1392;-0.7209;
-168.0000;0.1368;-0.7259;
-167.7000;0.1416;-0.7133;
-167.4000;0.1359;-0.7259;
-167.1000;0.1408;-0.7133;
-166.8000;0.1392;-0.7184;
-166.5000;0.1392;-0.7184;
-166.2000;0.1384;-0.7209;
-165.9000;0.1392;-0.7209;
-165.6000;0.1400;-0.7159;
-165.3000;0.1384;-0.7159;
-165.0000;0.1400;-0.7108;
-164.7000;0.1392;-0.7133;
-164.4000;0.1400;-0.7133;
-164.1000;0.1376;-0.7133;
-163.8000;0.1368;-0.7083;
-163.5000;0.1359;-0.7058;
-163.2000;0.1368;-0.7033;
-162.9000;0.1376;-0.7108;
-162.6000;0.1433;-0.7083;
-162.3000;0.1376;-0.7259;
-162.0000;0.1416;-0.7234;
-161.7000;0.1400;-0.7360;
-161.4000;0.1384;-0.7309;
-161.1000;0.1392;-0.7259;
-160.8000;0.1376;-0.7334;
-160.5000;0.1400;-0.7284;
-160.2000;0.1425;-0.7234;
-159.9000;0.1400;-0.7259;
-159.6000;0.1392;-0.7309;
-159.3000;0.1368;-0.7309;
-159.0000;0.1384;-0.7309;
-158.7000;0.1400;-0.7234;
-158.4000;0.1384;-0.7184;
-158.1000;0.1441;-0.7008;
-157.8000;0.1376;-0.7209;
-157.5000;0.1384;-0.7184;
-157.2000;0.1376;-0.7234;
-156.9000;0.1376;-0.7209;
-156.6000;0.1376;-0.7159;
-156.3000;0.1384;-0.7159;
-156.0000;0.1392;-0.7133;
-155.7000;0.1392;-0.7108;
-155.4000;0.1392;-0.7108;
-155.1000;0.1392;-0.7159;
-154.8000;0.1376;-0.7209;
-154.5000;0.1392;-0.7159;
-154.2000;0.1457;-0.7033;
-153.9000;0.1400;-0.7159;
-153.6000;0.1368;-0.7234;
-153.3000;0.1376;-0.7159;
-153.0000;0.1392;-0.7008;
-152.7000;0.1416;-0.6907;
-152.4000;0.1368;-0.7083;
-152.1000;0.1384;-0.7108;
-151.8000;0.1376;-0.7133;
-151.5000;0.1359;-0.7058;
-151.2000;0.1368;-0.7008;
-150.9000;0.1376;-0.6983;
-150.6000;0.1368;-0.7133;
-150.3000;0.1384;-0.7108;
-150.0000;0.1384;-0.7184;
-149.7000;0.1368;-0.7284;
-149.4000;0.1384;-0.7309;
-149.1000;0.1384;-0.7259;
-148.8000;0.1368;-0.7334;
-148.5000;0.1384;-0.7209;
-148.2000;0.1392;-0.7133;
-147.9000;0.1400;-0.7058;
-147.6000;0.1384;-0.7083;
-147.3000;0.1384;-0.7184;
-147.0000;0.1392;-0.7159;
-146.7000;0.1384;-0.7259;
-146.4000;0.1408;-0.7058;
-146.1000;0.1400;-0.7033;
-145.8000;0.1490;-0.6882;
-145.5000;0.1343;-0.7159;
-145.2000;0.1400;-0.6933;
-144.9000;0.1392;-0.6933;
-144.6000;0.1351;-0.7008;
-144.3000;0.1376;-0.6958;
-144.0000;0.1400;-0.6933;
-143.7000;0.1384;-0.7058;
-143.4000;0.1343;-0.7234;
-143.1000;0.1368;-0.7209;
-142.8000;0.1359;-0.7209;
-142.5000;0.1384;-0.7209;
-142.2000;0.1376;-0.7234;
-141.9000;0.1359;-0.7259;
-141.6000;0.1376;-0.7309;
-141.3000;0.1384;-0.7184;
-141.0000;0.1376;-0.7234;
-140.7000;0.1376;-0.7159;
-140.4000;0.1376;-0.7108;
-140.1000;0.1359;-0.7159;
-139.8000;0.1376;-0.7108;
-139.5000;0.1384;-0.7184;
-139.2000;0.1368;-0.7209;
-138.9000;0.1319;-0.7334;
-138.6000;0.1384;-0.7083;
-138.3000;0.1376;-0.7033;
-138.0000;0.1359;-0.7108;
-137.7000;0.1392;-0.7008;
-137.4000;0.1376;-0.7008;
-137.1000;0.1376;-0.6983;
-136.8000;0.1376;-0.6958;
-136.5000;0.1384;-0.6907;
-136.2000;0.1351;-0.6983;
-135.9000;0.1368;-0.7058;
-135.6000;0.1392;-0.7033;
-135.3000;0.1392;-0.6983;
-135.0000;0.1384;-0.6958;
-134.7000;0.1384;-0.6983;
-134.4000;0.1343;-0.7058;
-134.1000;0.1392;-0.6958;
-133.8000;0.1384;-0.7058;
-133.5000;0.1368;-0.7133;
-133.2000;0.1384;-0.7159;
-132.9000;0.1392;-0.7033;
-132.6000;0.1384;-0.7083;
-132.3000;0.1384;-0.7159;
-132.0000;0.1400;-0.7058;
-131.7000;0.1376;-0.7008;
-131.4000;0.1392;-0.6933;
-131.1000;0.1384;-0.6958;
-130.8000;0.1376;-0.7108;
-130.5000;0.1376;-0.6983;
-130.2000;0.1400;-0.6882;
-129.9000;0.1384;-0.6882;
-129.6000;0.1368;-0.6983;
-129.3000;0.1351;-0.7058;
-129.0000;0.1368;-0.7083;
-128.7000;0.1384;-0.7058;
-128.4000;0.1368;-0.7133;
-128.1000;0.1408;-0.7083;
-127.8000;0.1384;-0.7033;
-127.5000;0.1376;-0.7108;
-127.2000;0.1376;-0.7159;
-126.9000;0.1384;-0.7133;
-126.6000;0.1433;-0.7058;
-126.3000;0.1392;-0.7234;
-126.0000;0.1376;-0.7209;
-125.7000;0.1335;-0.7159;
-125.4000;0.1368;-0.7083;
-125.1000;0.1392;-0.7008;
-124.8000;0.1392;-0.7008;
-124.5000;0.1392;-0.7008;
-124.2000;0.1368;-0.6958;
-123.9000;0.1376;-0.6933;
-123.6000;0.1368;-0.6907;
-123.3000;0.1368;-0.6882;
-123.0000;0.1368;-0.6983;
-122.7000;0.1368;-0.6983;
-122.4000;0.1384;-0.7058;
-122.1000;0.1392;-0.7159;
-121.8000;0.1498;-0.6882;
-121.5000;0.1400;-0.7108;
-121.2000;0.1408;-0.7058;
-120.9000;0.1416;-0.7108;
-120.6000;0.1408;-0.7083;
-120.3000;0.1376;-0.7159;
-120.0000;0.1359;-0.7234;
-119.7000;0.1392;-0.7058;
-119.4000;0.1368;-0.7108;
-119.1000;0.1392;-0.7159;
-118.8000;0.1384;-0.7259;
-118.5000;0.1392;-0.7209;
-118.2000;0.1359;-0.7234;
-117.9000;0.1392;-0.7184;
-117.6000;0.1359;-0.7360;
-117.3000;0.1384;-0.7284;
-117.0000;0.1400;-0.7209;
-116.7000;0.1368;-0.7259;
-116.4000;0.1359;-0.7209;
-116.1000;0.1368;-0.7133;
-115.8000;0.1392;-0.6958;
-115.5000;0.1392;-0.6983;
-115.2000;0.1400;-0.6958;
-114.9000;0.1408;-0.6933;
-114.6000;0.1400;-0.6983;
-114.3000;0.1416;-0.6907;
-114.0000;0.1376;-0.7083;
-113.7000;0.1294;-0.7435;
-113.4000;0.1392;-0.7184;
-113.1000;0.1359;-0.7259;
-112.8000;0.1392;-0.7184;
-112.5000;0.1400;-0.7209;
-112.2000;0.1392;-0.7234;
-111.9000;0.1408;-0.7083;
-111.6000;0.1392;-0.7184;
-111.3000;0.1392;-0.7184;
-111.0000;0.1384;-0.7159;
-110.7000;0.1384;-0.7159;
-110.4000;0.1441;-0.7033;
-110.1000;0.1384;-0.7234;
-109.8000;0.1376;-0.7234;
-109.5000;0.1376;-0.7234;
-109.2000;0.1368;-0.7234;
-108.9000;0.1400;-0.7159;
-108.6000;0.1376;-0.7209;
-108.3000;0.1416;-0.7108;
-108.0000;0.1392;-0.7334;
-107.7000;0.1384;-0.7309;
-107.4000;0.1343;-0.7460;
-107.1000;0.1392;-0.7259;
-106.8000;0.1384;-0.7234;
-106.5000;0.1384;-0.7334;
-106.2000;0.1376;-0.7435;
-105.9000;0.1384;-0.7410;
-105.6000;0.1400;-0.7410;
-105.3000;0.1400;-0.7334;
-105.0000;0.1376;-0.7334;
-104.7000;0.1376;-0.7284;
-104.4000;0.1368;-0.7184;
-104.1000;0.1384;-0.7083;
-103.8000;0.1368;-0.7133;
-103.5000;0.1392;-0.7058;
-103.2000;0.1392;-0.7133;
-102.9000;0.1368;-0.7159;
-102.6000;0.1376;-0.7184;
-102.3000;0.1400;-0.7184;
-102.0000;0.1416;-0.7133;
-101.7000;0.1408;-0.7108;
-101.4000;0.1384;-0.7058;
-101.1000;0.1392;-0.7083;
-100.8000;0.1408;-0.7108;
-100.5000;0.1400;-0.7234;
-100.2000;0.1376;-0.7334;
-99.9000;0.1376;-0.7234;
-99.6000;0.1376;-0.7184;
-99.3000;0.1384;-0.7184;
-99.0000;0.1392;-0.7184;
-98.7000;0.1392;-0.7234;
-98.4000;0.1425;-0.7184;
-98.1000;0.1392;-0.7159;
-97.8000;0.1425;-0.7033;
-97.5000;0.1384;-0.7058;
-97.2000;0.1368;-0.7184;
-96.9000;0.1400;-0.7108;
-96.6000;0.1376;-0.7159;
-96.3000;0.1359;-0.7209;
-96.0000;0.1400;-0.7058;
-95.7000;0.1392;-0.7083;
-95.4000;0.1392;-0.7159;
-95.1000;0.1392;-0.7234;
-94.8000;0.1368;-0.7159;
-94.5000;0.1376;-0.7108;
-94.2000;0.1392;-0.7033;
-93.9000;0.1392;-0.7008;
-93.6000;0.1384;-0.7058;
-93.3000;0.1376;-0.7108;
-93.0000;0.1368;-0.7108;
-92.7000;0.1473;-0.6807;
-92.4000;0.1319;-0.7234;
-92.1000;0.1359;-0.7133;
-91.8000;0.1384;-0.7008;
-91.5000;0.1384;-0.7058;
-91.2000;0.1473;-0.6832;
-90.9000;0.1416;-0.6983;
