time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.0993;1.2208;
-199.5000;0.0993;1.2161;
-199.2000;0.0985;1.2090;
-198.9000;0.0912;1.1901;
-198.6000;0.0928;1.1972;
-198.3000;0.0977;1.2066;
-198.0000;0.0985;1.2114;
-197.7000;0.1018;1.2090;
-197.4000;0.1001;1.1949;
-197.1000;0.0993;1.1925;
-196.8000;0.0985;1.2019;
-196.5000;0.1001;1.1972;
-196.2000;0.0977;1.1901;
-195.9000;0.0993;1.1901;
-195.6000;0.0977;1.1854;
-195.3000;0.0985;1.1807;
-195.0000;0.0985;1.1854;
-194.7000;0.1009;1.1972;
-194.4000;0.1001;1.1925;
-194.1000;0.0993;1.1925;
-193.8000;0.0993;1.1972;
-193.5000;0.1083;1.2066;
-193.2000;0.1018;1.1854;
-192.9000;0.1042;1.1925;
-192.6000;0.1018;1.1878;
-192.3000;0.0969;1.1713;
-192.0000;0.1018;1.1854;
-191.7000;0.0961;1.1784;
-191.4000;0.1001;1.1878;
-191.1000;0.0961;1.1736;
-190.8000;0.0993;1.1878;
-190.5000;0.0969;1.1807;
-190.2000;0.0977;1.1807;
-189.9000;0.0952;1.1713;
-189.6000;0.1001;1.1878;
-189.3000;0.1018;1.1996;
-189.0000;0.0944;1.1854;
-188.7000;0.0961;1.1854;
-188.4000;0.1018;1.1901;
-188.1000;0.1026;1.1949;
-187.8000;0.1001;1.1831;
-187.5000;0.0961;1.1784;
-187.2000;0.0993;1.1831;
-186.9000;0.0993;1.1784;
-186.6000;0.0985;1.1854;
-186.3000;0.0977;1.1854;
-186.0000;0.1009;1.1901;
-185.7000;0.0985;1.1760;
-185.4000;0.0993;1.1831;
-185.1000;0.0952;1.1760;
-184.8000;0.0969;1.1854;
-184.5000;0.1034;1.1996;
-184.2000;0.0985;1.1854;
-183.9000;0.0985;1.1854;
-183.6000;0.0993;1.1878;
-183.3000;0.0985;1.1854;
-183.0000;0.0985;1.1831;
-182.7000;0.1018;1.1925;
-182.4000;0.0985;1.1925;
-182.1000;0.0985;1.1925;
-181.8000;0.0985;1.1925;
-181.5000;0.1034;1.2066;
-181.2000;0.0993;1.1996;
-180.9000;0.1001;1.2066;
-180.6000;0.0993;1.2019;
-180.3000;0.0993;1.1996;
-180.0000;0.0993;1.1949;
-179.7000;0.0977;1.1972;
-179.4000;0.1026;1.2184;
-179.1000;0.0985;1.2066;
-178.8000;0.0969;1.2019;
-178.5000;0.0961;1.2019;
-178.2000;0.0993;1.2090;
-177.9000;0.1001;1.2019;
-177.6000;0.1001;1.1972;
-177.3000;0.1009;1.2019;
-177.0000;0.1009;1.2043;
-176.7000;0.0977;1.1972;
-176.4000;0.1018;1.1996;
-176.1000;0.0993;1.1949;
-175.8000;0.0993;1.1949;
-175.5000;0.0961;1.1854;
-175.2000;0.0977;1.1949;
-174.9000;0.0985;1.1949;
-174.6000;0.0993;1.1949;
-174.3000;0.0985;1.1949;
-174.0000;0.1001;1.1949;
-173.7000;0.0985;1.1949;
-173.4000;0.0985;1.1996;
-173.1000;0.1001;1.1996;
-172.8000;0.1009;1.1996;
-172.5000;0.1042;1.2066;
-172.2000;0.1001;1.1972;
-171.9000;0.0977;1.1925;
-171.6000;0.1001;1.1901;
-171.3000;0.0977;1.1854;
-171.0000;0.0985;1.1831;
-170.7000;0.0993;1.1784;
-170.4000;0.0961;1.1689;
-170.1000;0.0993;1.1760;
-169.8000;0.0985;1.1807;
-169.5000;0.0985;1.1854;
-169.2000;0.1001;1.1760;
-168.9000;0.1001;1.1878;
-168.6000;0.0961;1.1831;
-168.3000;0.0969;1.1831;
-168.0000;0.1001;1.1901;
-167.7000;0.1001;1.1901;
-167.4000;0.0961;1.1854;
-167.1000;0.0993;1.1925;
-166.8000;0.1018;1.1996;
-166.5000;0.0977;1.1949;
-166.2000;0.0993;1.1996;
-165.9000;0.0985;1.1996;
-165.6000;0.0985;1.1972;
-165.3000;0.1009;1.2019;
-165.0000;0.0977;1.1949;
-164.7000;0.0985;1.1972;
-164.4000;0.1009;1.1972;
-164.1000;0.1001;1.1949;
-163.8000;0.0969;1.1878;
-163.5000;0.0969;1.1878;
-163.2000;0.0985;1.1996;
-162.9000;0.0936;1.1925;
-162.6000;0.0985;1.2090;
-162.3000;0.0993;1.1949;
-162.0000;0.0993;1.1972;
-161.7000;0.0993;1.1925;
-161.4000;0.0977;1.1949;
-161.1000;0.0993;1.2043;
-160.8000;0.0969;1.2043;
-160.5000;0.1018;1.2114;
-160.2000;0.1018;1.2019;
-159.9000;0.1018;1.1972;
-159.6000;0.0985;1.1807;
-159.3000;0.0977;1.1736;
-159.0000;0.1001;1.1925;
-158.7000;0.0993;1.1901;
-158.4000;0.0977;1.1878;
-158.1000;0.0977;1.1878;
-157.8000;0.1009;1.2043;
-157.5000;0.0977;1.1996;
-157.2000;0.0993;1.1996;
-156.9000;0.1001;1.1925;
-156.6000;0.0993;1.1878;
-156.3000;0.0985;1.1831;
-156.0000;0.1001;1.1784;
-155.7000;0.0993;1.1784;
-155.4000;0.0985;1.1760;
-155.1000;0.0985;1.1736;
-154.8000;0.0977;1.1736;
-154.5000;0.0993;1.1760;
-154.2000;0.0985;1.1760;
-153.9000;0.1018;1.1784;
-153.6000;0.0977;1.1642;
-153.3000;0.1009;1.1736;
-153.0000;0.1009;1.1760;
-152.7000;0.1018;1.1784;
-152.4000;0.0993;1.1736;
-152.1000;0.0993;1.1713;
-151.8000;0.1001;1.1736;
-151.5000;0.0993;1.1854;
-151.2000;0.1074;1.2137;
-150.9000;0.1034;1.2066;
-150.6000;0.1018;1.2019;
-150.3000;0.0985;1.2090;
-150.0000;0.0977;1.2090;
-149.7000;0.0961;1.1996;
-149.4000;0.0969;1.1925;
-149.1000;0.0985;1.1949;
-148.8000;0.0993;1.1925;
-148.5000;0.1018;1.2090;
-148.2000;0.0904;1.1784;
-147.9000;0.1001;1.2019;
-147.6000;0.0952;1.1925;
-147.3000;0.1026;1.2043;
-147.0000;0.0985;1.1972;
-146.7000;0.0952;1.1878;
-146.4000;0.1001;1.1949;
-146.1000;0.1009;1.1996;
-145.8000;0.0961;1.1901;
-145.5000;0.0944;1.1878;
-145.2000;0.0977;1.1925;
-144.9000;0.0944;1.1854;
-144.6000;0.1058;1.2161;
-144.3000;0.0985;1.1949;
-144.0000;0.0961;1.1949;
-143.7000;0.1009;1.1996;
-143.4000;0.0985;1.1831;
-143.1000;0.1001;1.1878;
-142.8000;0.0977;1.1807;
-142.5000;0.1009;1.1854;
-142.2000;0.0993;1.1925;
-141.9000;0.1009;1.1949;
-141.6000;0.0985;1.1854;
-141.3000;0.0985;1.1831;
-141.0000;0.1018;1.1972;
-140.7000;0.1001;1.1996;
-140.4000;0.0993;1.1925;
-140.1000;0.1001;1.2019;
-139.8000;0.0993;1.2090;
-139.5000;0.0993;1.2043;
-139.2000;0.1009;1.2090;
-138.9000;0.0977;1.2019;
-138.6000;0.1001;1.2043;
-138.3000;0.1009;1.1949;
-138.0000;0.1018;1.2019;
-137.7000;0.1009;1.2043;
-137.4000;0.1009;1.2043;
-137.1000;0.0993;1.1925;
-136.8000;0.1066;1.2137;
-136.5000;0.1001;1.1996;
-136.2000;0.0977;1.1925;
-135.9000;0.1018;1.2019;
-135.6000;0.0977;1.1831;
-135.3000;0.0985;1.1878;
-135.0000;0.0985;1.1878;
-134.7000;0.1009;1.1925;
-134.4000;0.0952;1.1736;
-134.1000;0.0993;1.1854;
-133.8000;0.0985;1.1831;
-133.5000;0.1001;1.1901;
-133.2000;0.1001;1.1736;
-132.9000;0.0993;1.1713;
-132.6000;0.1026;1.1878;
-132.3000;0.1001;1.1784;
-132.0000;0.1001;1.1736;
-131.7000;0.0985;1.1642;
-131.4000;0.1009;1.1736;
-131.1000;0.1001;1.1807;
-130.8000;0.0993;1.1878;
-130.5000;0.0993;1.1854;
-130.2000;0.0993;1.1831;
-129.9000;0.0977;1.1784;
-129.6000;0.1001;1.1807;
-129.3000;0.0985;1.1713;
-129.0000;0.0977;1.1736;
-128.7000;0.1001;1.1807;
-128.4000;0.0969;1.1736;
-128.1000;0.0993;1.1784;
-127.8000;0.0977;1.1713;
-127.5000;0.1009;1.1784;
-127.2000;0.0985;1.1736;
-126.9000;0.1001;1.1666;
-126.6000;0.1018;1.1807;
-126.3000;0.1034;1.1996;
-126.0000;0.0993;1.1878;
-125.7000;0.0977;1.1713;
-125.4000;0.0944;1.1713;
-125.1000;0.0977;1.1713;
-124.8000;0.1018;1.1736;
-124.5000;0.1001;1.1736;
-124.2000;0.0977;1.1760;
-123.9000;0.1009;1.1949;
-123.6000;0.0993;1.1831;
-123.3000;0.0993;1.1807;
-123.0000;0.1066;1.2019;
-122.7000;0.0993;1.1689;
-122.4000;0.1001;1.1689;
-122.1000;0.1009;1.1713;
-121.8000;0.0993;1.1689;
-121.5000;0.0977;1.1642;
-121.2000;0.0977;1.1642;
-120.9000;0.0977;1.1619;
-120.6000;0.1034;1.1736;
-120.3000;0.1001;1.1736;
-120.0000;0.1001;1.1760;
-119.7000;0.0985;1.1760;
-119.4000;0.1001;1.1760;
-119.1000;0.0985;1.1595;
-118.8000;0.0985;1.1571;
-118.5000;0.0961;1.1524;
-118.2000;0.0879;1.1312;
-117.9000;0.0993;1.1666;
-117.6000;0.0969;1.1666;
