time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.1018;4.4177;
-199.5000;0.1001;4.4128;
-199.2000;0.1001;4.4031;
-198.9000;0.0985;4.3982;
-198.6000;0.0993;4.4055;
-198.3000;0.0952;4.3957;
-198.0000;0.1018;4.4226;
-197.7000;0.0952;4.4055;
-197.4000;0.0977;4.4104;
-197.1000;0.0985;4.4104;
-196.8000;0.1009;4.4202;
-196.5000;0.1001;4.4177;
-196.2000;0.1018;4.4275;
-195.9000;0.1001;4.4275;
-195.6000;0.1058;4.4471;
-195.3000;0.0977;4.4275;
-195.0000;0.0993;4.4251;
-194.7000;0.1001;4.4275;
-194.4000;0.0985;4.4324;
-194.1000;0.0985;4.4324;
-193.8000;0.1001;4.4324;
-193.5000;0.0977;4.4251;
-193.2000;0.0969;4.4299;
-192.9000;0.1018;4.4324;
-192.6000;0.0961;4.4251;
-192.3000;0.1034;4.4422;
-192.0000;0.1018;4.4275;
-191.7000;0.1050;4.4446;
-191.4000;0.1042;4.4373;
-191.1000;0.0977;4.4153;
-190.8000;0.0985;4.4153;
-190.5000;0.0993;4.4226;
-190.2000;0.1009;4.4177;
-189.9000;0.1009;4.4177;
-189.6000;0.1001;4.4177;
-189.3000;0.1009;4.4275;
-189.0000;0.0977;4.4177;
-188.7000;0.0993;4.4226;
-188.4000;0.0993;4.4177;
-188.1000;0.1042;4.4226;
-187.8000;0.0993;4.4104;
-187.5000;0.0993;4.4128;
-187.2000;0.1009;4.4202;
-186.9000;0.1018;4.4226;
-186.6000;0.1018;4.4177;
-186.3000;0.0936;4.3957;
-186.0000;0.0969;4.4128;
-185.7000;0.1034;4.4324;
-185.4000;0.1026;4.4226;
-185.1000;0.0961;4.4079;
-184.8000;0.0928;4.3982;
-184.5000;0.0993;4.4202;
-184.2000;0.0969;4.4128;
-183.9000;0.1009;4.4324;
-183.6000;0.1018;4.4348;
-183.3000;0.0977;4.4251;
-183.0000;0.1009;4.4299;
-182.7000;0.0985;4.4251;
-182.4000;0.1018;4.4299;
-182.1000;0.1009;4.4226;
-181.8000;0.1042;4.4324;
-181.5000;0.1018;4.4299;
-181.2000;0.1026;4.4299;
-180.9000;0.1018;4.4177;
-180.6000;0.0985;4.4128;
-180.3000;0.1018;4.4153;
-180.0000;0.1026;4.4202;
-179.7000;0.0977;4.4104;
-179.4000;0.1009;4.4177;
-179.1000;0.0985;4.4128;
-178.8000;0.0969;4.4104;
-178.5000;0.0993;4.4079;
-178.2000;0.1009;4.4128;
-177.9000;0.1026;4.4104;
-177.6000;0.1009;4.4055;
-177.3000;0.0985;4.3982;
-177.0000;0.1009;4.4055;
-176.7000;0.0993;4.3957;
-176.4000;0.1042;4.4031;
-176.1000;0.1042;4.4104;
-175.8000;0.1009;4.4079;
-175.5000;0.1009;4.4055;
-175.2000;0.1042;4.4079;
-174.9000;0.0993;4.4006;
-174.6000;0.1009;4.3982;
-174.3000;0.1001;4.3957;
-174.0000;0.1001;4.4006;
-173.7000;0.0977;4.4006;
-173.4000;0.0952;4.4031;
-173.1000;0.1009;4.4177;
-172.8000;0.0985;4.4177;
-172.5000;0.1001;4.4275;
-172.2000;0.0993;4.4226;
-171.9000;0.1009;4.4324;
-171.6000;0.0985;4.4251;
-171.3000;0.1001;4.4299;
-171.0000;0.0993;4.4202;
-170.7000;0.0977;4.4153;
-170.4000;0.1009;4.4226;
-170.1000;0.1026;4.4324;
-169.8000;0.1001;4.4226;
-169.5000;0.1026;4.4251;
-169.2000;0.1009;4.4177;
-168.9000;0.1001;4.4079;
-168.6000;0.0985;4.4006;
-168.3000;0.1034;4.4079;
-168.0000;0.1001;4.4006;
-167.7000;0.1009;4.3982;
-167.4000;0.1009;4.4079;
-167.1000;0.1018;4.4177;
-166.8000;0.1018;4.4202;
-166.5000;0.1001;4.4226;
-166.2000;0.1034;4.4348;
-165.9000;0.1001;4.4348;
-165.6000;0.1009;4.4275;
-165.3000;0.0993;4.4251;
-165.0000;0.0993;4.4348;
-164.7000;0.1009;4.4348;
-164.4000;0.0993;4.4348;
-164.1000;0.1018;4.4299;
-163.8000;0.1009;4.4348;
-163.5000;0.1009;4.4373;
-163.2000;0.1001;4.4397;
-162.9000;0.0993;4.4324;
-162.6000;0.1018;4.4251;
-162.3000;0.1001;4.4275;
-162.0000;0.0985;4.4251;
-161.7000;0.1009;4.4275;
-161.4000;0.1026;4.4348;
-161.1000;0.1001;4.4226;
-160.8000;0.0985;4.4226;
-160.5000;0.1001;4.4299;
-160.2000;0.0969;4.4153;
-159.9000;0.0993;4.4251;
-159.6000;0.0985;4.4251;
-159.3000;0.0985;4.4251;
-159.0000;0.1001;4.4251;
-158.7000;0.1009;4.4251;
-158.4000;0.0993;4.4202;
