time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.8531;-0.0474;
-199.5000;0.8523;-0.0569;
-199.2000;0.8531;-0.0640;
-198.9000;0.8547;-0.0711;
-198.6000;0.8531;-0.0782;
-198.3000;0.8539;-0.0687;
-198.0000;0.8571;-0.0616;
-197.7000;0.8531;-0.0734;
-197.4000;0.8474;-0.0829;
-197.1000;0.8514;-0.0711;
-196.8000;0.8531;-0.0758;
-196.5000;0.8523;-0.0711;
-196.2000;0.8539;-0.0640;
-195.9000;0.8514;-0.0663;
-195.6000;0.8506;-0.0758;
-195.3000;0.8547;-0.0687;
-195.0000;0.8539;-0.0734;
-194.7000;0.8523;-0.0734;
-194.4000;0.8506;-0.0782;
-194.1000;0.8523;-0.0711;
-193.8000;0.8547;-0.0687;
-193.5000;0.8547;-0.0640;
-193.2000;0.8531;-0.0711;
-192.9000;0.8523;-0.0853;
-192.6000;0.8555;-0.0758;
-192.3000;0.8531;-0.0806;
-192.0000;0.8474;-0.0900;
-191.7000;0.8523;-0.0806;
-191.4000;0.8555;-0.0663;
-191.1000;0.8539;-0.0616;
-190.8000;0.8514;-0.0734;
-190.5000;0.8531;-0.0758;
-190.2000;0.8531;-0.0900;
-189.9000;0.8539;-0.0853;
-189.6000;0.8523;-0.0758;
-189.3000;0.8523;-0.0782;
-189.0000;0.8555;-0.0687;
-188.7000;0.8547;-0.0616;
-188.4000;0.8539;-0.0711;
-188.1000;0.8498;-0.0924;
-187.8000;0.8539;-0.0900;
-187.5000;0.8539;-0.0900;
-187.2000;0.8539;-0.0924;
-186.9000;0.8523;-0.1042;
-186.6000;0.8580;-0.0877;
-186.3000;0.8523;-0.1019;
-186.0000;0.8523;-0.1066;
-185.7000;0.8523;-0.1090;
-185.4000;0.8531;-0.1114;
-185.1000;0.8531;-0.1090;
-184.8000;0.8531;-0.1019;
-184.5000;0.8539;-0.0900;
-184.2000;0.8531;-0.0924;
-183.9000;0.8531;-0.0971;
-183.6000;0.8490;-0.1090;
-183.3000;0.8531;-0.1066;
-183.0000;0.8506;-0.1090;
-182.7000;0.8523;-0.1019;
-182.4000;0.8539;-0.0971;
-182.1000;0.8433;-0.1161;
-181.8000;0.8514;-0.1042;
-181.5000;0.8514;-0.1066;
-181.2000;0.8539;-0.1042;
-180.9000;0.8506;-0.1137;
-180.6000;0.8539;-0.1137;
-180.3000;0.8523;-0.1090;
-180.0000;0.8531;-0.1042;
-179.7000;0.8547;-0.0971;
-179.4000;0.8539;-0.0877;
-179.1000;0.8514;-0.0877;
-178.8000;0.8514;-0.0829;
-178.5000;0.8539;-0.0806;
-178.2000;0.8547;-0.0853;
-177.9000;0.8539;-0.0853;
-177.6000;0.8523;-0.0829;
-177.3000;0.8523;-0.0829;
-177.0000;0.8474;-0.1042;
-176.7000;0.8531;-0.0948;
-176.4000;0.8523;-0.0971;
-176.1000;0.8514;-0.1019;
-175.8000;0.8539;-0.0995;
-175.5000;0.8506;-0.0948;
-175.2000;0.8531;-0.0900;
-174.9000;0.8547;-0.0877;
-174.6000;0.8539;-0.0853;
-174.3000;0.8539;-0.0829;
-174.0000;0.8514;-0.0829;
-173.7000;0.8539;-0.0853;
-173.4000;0.8547;-0.0853;
-173.1000;0.8531;-0.0853;
-172.8000;0.8523;-0.0853;
-172.5000;0.8514;-0.0853;
-172.2000;0.8523;-0.0782;
-171.9000;0.8531;-0.0758;
-171.6000;0.8514;-0.0782;
-171.3000;0.8523;-0.0782;
-171.0000;0.8523;-0.0711;
-170.7000;0.8539;-0.0758;
-170.4000;0.8539;-0.0711;
-170.1000;0.8531;-0.0782;
-169.8000;0.8531;-0.0782;
-169.5000;0.8547;-0.0829;
-169.2000;0.8547;-0.0829;
-168.9000;0.8523;-0.0829;
-168.6000;0.8539;-0.0853;
-168.3000;0.8539;-0.0829;
-168.0000;0.8531;-0.0877;
-167.7000;0.8539;-0.0948;
-167.4000;0.8539;-0.0948;
-167.1000;0.8514;-0.0900;
-166.8000;0.8539;-0.0900;
-166.5000;0.8514;-0.1042;
-166.2000;0.8514;-0.0971;
-165.9000;0.8531;-0.0877;
-165.6000;0.8531;-0.0900;
-165.3000;0.8531;-0.0924;
-165.0000;0.8523;-0.0900;
-164.7000;0.8514;-0.0924;
-164.4000;0.8539;-0.0853;
-164.1000;0.8555;-0.0829;
-163.8000;0.8531;-0.0924;
-163.5000;0.8539;-0.0877;
-163.2000;0.8531;-0.0877;
-162.9000;0.8514;-0.0900;
-162.6000;0.8531;-0.0900;
-162.3000;0.8539;-0.0924;
-162.0000;0.8555;-0.0853;
-161.7000;0.8547;-0.0829;
-161.4000;0.8547;-0.0734;
-161.1000;0.8531;-0.0711;
-160.8000;0.8531;-0.0711;
-160.5000;0.8539;-0.0711;
-160.2000;0.8514;-0.0687;
-159.9000;0.8547;-0.0687;
-159.6000;0.8531;-0.0711;
-159.3000;0.8531;-0.0663;
-159.0000;0.8531;-0.0592;
-158.7000;0.8523;-0.0640;
-158.4000;0.8539;-0.0687;
-158.1000;0.8539;-0.0734;
-157.8000;0.8539;-0.0734;
-157.5000;0.8490;-0.0782;
-157.2000;0.8531;-0.0782;
-156.9000;0.8523;-0.0782;
-156.6000;0.8531;-0.0687;
-156.3000;0.8514;-0.0734;
-156.0000;0.8523;-0.0782;
-155.7000;0.8523;-0.0877;
-155.4000;0.8539;-0.0829;
-155.1000;0.8547;-0.0782;
-154.8000;0.8531;-0.0900;
-154.5000;0.8531;-0.0971;
-154.2000;0.8523;-0.0877;
-153.9000;0.8539;-0.0877;
-153.6000;0.8506;-0.0853;
-153.3000;0.8523;-0.0853;
-153.0000;0.8523;-0.0877;
-152.7000;0.8531;-0.0877;
-152.4000;0.8539;-0.0924;
-152.1000;0.8539;-0.0971;
-151.8000;0.8531;-0.1066;
-151.5000;0.8539;-0.1042;
-151.2000;0.8539;-0.0971;
-150.9000;0.8539;-0.0853;
-150.6000;0.8531;-0.0853;
-150.3000;0.8539;-0.0829;
-150.0000;0.8506;-0.0900;
-149.7000;0.8523;-0.0829;
-149.4000;0.8523;-0.0853;
-149.1000;0.8531;-0.0806;
-148.8000;0.8523;-0.0782;
-148.5000;0.8514;-0.0734;
-148.2000;0.8531;-0.0782;
-147.9000;0.8523;-0.0758;
-147.6000;0.8539;-0.0758;
-147.3000;0.8514;-0.0829;
-147.0000;0.8514;-0.0806;
-146.7000;0.8531;-0.0877;
-146.4000;0.8531;-0.0829;
-146.1000;0.8547;-0.0758;
-145.8000;0.8506;-0.0806;
-145.5000;0.8523;-0.0734;
-145.2000;0.8523;-0.0734;
-144.9000;0.8571;-0.0663;
-144.6000;0.8523;-0.0782;
-144.3000;0.8563;-0.0711;
-144.0000;0.8514;-0.0806;
-143.7000;0.8539;-0.0687;
-143.4000;0.8539;-0.0640;
-143.1000;0.8531;-0.0663;
-142.8000;0.8539;-0.0687;
-142.5000;0.8555;-0.0687;
-142.2000;0.8482;-0.0948;
-141.9000;0.8539;-0.0711;
-141.6000;0.8539;-0.0663;
-141.3000;0.8523;-0.0734;
-141.0000;0.8571;-0.0616;
-140.7000;0.8506;-0.0782;
-140.4000;0.8539;-0.0758;
-140.1000;0.8531;-0.0806;
-139.8000;0.8523;-0.0782;
-139.5000;0.8514;-0.0877;
-139.2000;0.8539;-0.0877;
-138.9000;0.8531;-0.0924;
-138.6000;0.8514;-0.1042;
-138.3000;0.8523;-0.1114;
-138.0000;0.8531;-0.1114;
-137.7000;0.8523;-0.1114;
-137.4000;0.8523;-0.1114;
-137.1000;0.8547;-0.0995;
-136.8000;0.8531;-0.0924;
-136.5000;0.8547;-0.0829;
-136.2000;0.8531;-0.0877;
-135.9000;0.8531;-0.0877;
-135.6000;0.8514;-0.0829;
-135.3000;0.8514;-0.0829;
-135.0000;0.8506;-0.0853;
-134.7000;0.8531;-0.0782;
-134.4000;0.8449;-0.0948;
-134.1000;0.8523;-0.0782;
-133.8000;0.8523;-0.0758;
-133.5000;0.8547;-0.0734;
-133.2000;0.8457;-0.0924;
-132.9000;0.8506;-0.0853;
-132.6000;0.8539;-0.0829;
-132.3000;0.8523;-0.0877;
-132.0000;0.8539;-0.0853;
-131.7000;0.8514;-0.0877;
-131.4000;0.8514;-0.0877;
-131.1000;0.8531;-0.0948;
-130.8000;0.8531;-0.0995;
-130.5000;0.8514;-0.1019;
-130.2000;0.8531;-0.0900;
-129.9000;0.8531;-0.0948;
-129.6000;0.8523;-0.1042;
-129.3000;0.8539;-0.0971;
-129.0000;0.8474;-0.1161;
-128.7000;0.8506;-0.1090;
-128.4000;0.8523;-0.1090;
-128.1000;0.8523;-0.1042;
-127.8000;0.8514;-0.0995;
-127.5000;0.8506;-0.0877;
-127.2000;0.8531;-0.0806;
-126.9000;0.8514;-0.0829;
-126.6000;0.8523;-0.0853;
-126.3000;0.8441;-0.1019;
-126.0000;0.8531;-0.0853;
-125.7000;0.8539;-0.0948;
-125.4000;0.8539;-0.0995;
-125.1000;0.8555;-0.1019;
-124.8000;0.8523;-0.1090;
-124.5000;0.8547;-0.1019;
-124.2000;0.8531;-0.1019;
-123.9000;0.8514;-0.0971;
-123.6000;0.8539;-0.1019;
-123.3000;0.8506;-0.1114;
-123.0000;0.8523;-0.1042;
-122.7000;0.8523;-0.1137;
-122.4000;0.8514;-0.1114;
-122.1000;0.8531;-0.0948;
-121.8000;0.8531;-0.0995;
-121.5000;0.8523;-0.0995;
-121.2000;0.8539;-0.0853;
-120.9000;0.8523;-0.0853;
-120.6000;0.8539;-0.0877;
-120.3000;0.8531;-0.0853;
-120.0000;0.8531;-0.0924;
-119.7000;0.8547;-0.0853;
-119.4000;0.8547;-0.0806;
-119.1000;0.8523;-0.0853;
-118.8000;0.8531;-0.0900;
-118.5000;0.8539;-0.0853;
-118.2000;0.8539;-0.0877;
-117.9000;0.8539;-0.0948;
-117.6000;0.8588;-0.0806;
-117.3000;0.8539;-0.0924;
-117.0000;0.8523;-0.1066;
-116.7000;0.8547;-0.0948;
-116.4000;0.8539;-0.0995;
-116.1000;0.8523;-0.0995;
-115.8000;0.8531;-0.0948;
-115.5000;0.8547;-0.0806;
-115.2000;0.8539;-0.0806;
-114.9000;0.8531;-0.0877;
-114.6000;0.8531;-0.0806;
-114.3000;0.8531;-0.0782;
-114.0000;0.8531;-0.0734;
-113.7000;0.8539;-0.0758;
-113.4000;0.8531;-0.0806;
-113.1000;0.8539;-0.0758;
-112.8000;0.8547;-0.0734;
-112.5000;0.8523;-0.0711;
-112.2000;0.8531;-0.0782;
-111.9000;0.8523;-0.0806;
-111.6000;0.8539;-0.0734;
-111.3000;0.8539;-0.0758;
-111.0000;0.8531;-0.0782;
-110.7000;0.8628;-0.0592;
-110.4000;0.8539;-0.0782;
-110.1000;0.8555;-0.0806;
-109.8000;0.8539;-0.0900;
