time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.8799;1.4622;
-199.5000;0.8824;1.4646;
-199.2000;0.8775;1.4526;
-198.9000;0.8775;1.4526;
-198.6000;0.8767;1.4574;
-198.3000;0.8751;1.4574;
-198.0000;0.8767;1.4646;
-197.7000;0.8767;1.4574;
-197.4000;0.8767;1.4622;
-197.1000;0.8718;1.4453;
-196.8000;0.8791;1.4550;
-196.5000;0.8783;1.4646;
-196.2000;0.8791;1.4718;
-195.9000;0.8759;1.4742;
-195.6000;0.8759;1.4814;
-195.3000;0.8775;1.4790;
-195.0000;0.8783;1.4766;
-194.7000;0.8767;1.4742;
-194.4000;0.8775;1.4742;
-194.1000;0.8783;1.4766;
-193.8000;0.8775;1.4622;
-193.5000;0.8767;1.4501;
-193.2000;0.8775;1.4526;
-192.9000;0.8759;1.4477;
-192.6000;0.8742;1.4453;
-192.3000;0.8775;1.4646;
-192.0000;0.8775;1.4766;
-191.7000;0.8775;1.4838;
-191.4000;0.8767;1.4814;
-191.1000;0.8775;1.4838;
-190.8000;0.8775;1.4790;
-190.5000;0.8734;1.4622;
-190.2000;0.8767;1.4742;
-189.9000;0.8767;1.4694;
-189.6000;0.8783;1.4718;
-189.3000;0.8775;1.4742;
-189.0000;0.8775;1.4790;
-188.7000;0.8759;1.4814;
-188.4000;0.8759;1.4862;
-188.1000;0.8767;1.4766;
-187.8000;0.8864;1.5079;
-187.5000;0.8767;1.4766;
-187.2000;0.8759;1.4742;
-186.9000;0.8734;1.4718;
-186.6000;0.8661;1.4550;
-186.3000;0.8775;1.4814;
-186.0000;0.8742;1.4694;
-185.7000;0.8767;1.4718;
-185.4000;0.8718;1.4501;
-185.1000;0.8742;1.4598;
-184.8000;0.8767;1.4670;
-184.5000;0.8775;1.4646;
-184.2000;0.8775;1.4670;
-183.9000;0.8791;1.4622;
-183.6000;0.8783;1.4501;
-183.3000;0.8775;1.4526;
-183.0000;0.8783;1.4598;
-182.7000;0.8759;1.4622;
-182.4000;0.8775;1.4694;
-182.1000;0.8767;1.4670;
-181.8000;0.8791;1.4718;
-181.5000;0.8799;1.4790;
-181.2000;0.8767;1.4766;
-180.9000;0.8751;1.4742;
-180.6000;0.8767;1.4814;
-180.3000;0.8751;1.4790;
-180.0000;0.8799;1.4814;
-179.7000;0.8767;1.4766;
-179.4000;0.8694;1.4622;
-179.1000;0.8775;1.4766;
-178.8000;0.8913;1.5103;
-178.5000;0.8791;1.4790;
-178.2000;0.8767;1.4814;
-177.9000;0.8783;1.4790;
-177.6000;0.8751;1.4814;
-177.3000;0.8759;1.4814;
-177.0000;0.8751;1.4838;
-176.7000;0.8726;1.4718;
-176.4000;0.8718;1.4670;
-176.1000;0.8767;1.4766;
-175.8000;0.8783;1.4718;
-175.5000;0.8726;1.4574;
-175.2000;0.8775;1.4742;
-174.9000;0.8767;1.4814;
-174.6000;0.8767;1.4838;
-174.3000;0.8694;1.4670;
-174.0000;0.8759;1.4718;
-173.7000;0.8767;1.4838;
-173.4000;0.8751;1.4814;
-173.1000;0.8759;1.4886;
-172.8000;0.8799;1.4910;
-172.5000;0.8775;1.4766;
-172.2000;0.8767;1.4790;
-171.9000;0.8775;1.4790;
-171.6000;0.8767;1.4862;
-171.3000;0.8775;1.4910;
-171.0000;0.8848;1.5103;
-170.7000;0.8775;1.4862;
-170.4000;0.8767;1.4838;
-170.1000;0.8759;1.4910;
-169.8000;0.8775;1.5007;
-169.5000;0.8726;1.4814;
-169.2000;0.8759;1.4814;
-168.9000;0.8759;1.4790;
-168.6000;0.8767;1.4886;
-168.3000;0.8783;1.4934;
-168.0000;0.8799;1.5055;
-167.7000;0.8742;1.4886;
-167.4000;0.8734;1.4862;
-167.1000;0.8775;1.5007;
-166.8000;0.8759;1.4838;
-166.5000;0.8807;1.4958;
-166.2000;0.8783;1.4958;
-165.9000;0.8734;1.4814;
-165.6000;0.8783;1.4910;
-165.3000;0.8783;1.4910;
-165.0000;0.8710;1.4838;
-164.7000;0.8718;1.4838;
-164.4000;0.8767;1.4934;
-164.1000;0.8759;1.4862;
-163.8000;0.8759;1.4814;
-163.5000;0.8759;1.4790;
-163.2000;0.8783;1.4886;
-162.9000;0.8791;1.4838;
-162.6000;0.8759;1.4718;
-162.3000;0.8775;1.4646;
-162.0000;0.8759;1.4622;
-161.7000;0.8775;1.4766;
-161.4000;0.8791;1.4862;
-161.1000;0.8767;1.4838;
-160.8000;0.8783;1.5007;
-160.5000;0.8791;1.5055;
-160.2000;0.8767;1.4934;
-159.9000;0.8759;1.4958;
-159.6000;0.8767;1.5007;
-159.3000;0.8783;1.5007;
-159.0000;0.8775;1.5031;
-158.7000;0.8775;1.4958;
-158.4000;0.8775;1.4934;
-158.1000;0.8759;1.4934;
-157.8000;0.8856;1.5223;
-157.5000;0.8767;1.5031;
-157.2000;0.8767;1.5055;
-156.9000;0.8791;1.4982;
-156.6000;0.8726;1.4910;
-156.3000;0.8775;1.5055;
-156.0000;0.8775;1.5031;
-155.7000;0.8767;1.5031;
-155.4000;0.8767;1.5079;
-155.1000;0.8783;1.5199;
-154.8000;0.8791;1.5175;
-154.5000;0.8791;1.5151;
-154.2000;0.8767;1.5151;
-153.9000;0.8775;1.5127;
-153.6000;0.8799;1.5127;
-153.3000;0.8775;1.5031;
-153.0000;0.8775;1.5103;
-152.7000;0.8751;1.5031;
-152.4000;0.8759;1.5055;
-152.1000;0.8767;1.5007;
-151.8000;0.8775;1.5127;
-151.5000;0.8783;1.5031;
-151.2000;0.8767;1.5127;
-150.9000;0.8759;1.5103;
-150.6000;0.8767;1.4982;
-150.3000;0.8726;1.4814;
-150.0000;0.8775;1.4958;
-149.7000;0.8816;1.5103;
-149.4000;0.8775;1.5031;
-149.1000;0.8816;1.5079;
-148.8000;0.8783;1.5079;
-148.5000;0.8856;1.5319;
-148.2000;0.8759;1.5055;
-147.9000;0.8775;1.5127;
-147.6000;0.8864;1.5295;
-147.3000;0.8767;1.5031;
-147.0000;0.8832;1.5247;
-146.7000;0.8783;1.5247;
-146.4000;0.8767;1.5127;
-146.1000;0.8759;1.5127;
-145.8000;0.8783;1.5151;
-145.5000;0.8783;1.5127;
-145.2000;0.8775;1.5031;
-144.9000;0.8759;1.4958;
-144.6000;0.8751;1.4934;
-144.3000;0.8775;1.5007;
-144.0000;0.8759;1.4958;
-143.7000;0.8783;1.5079;
-143.4000;0.8767;1.4982;
-143.1000;0.8767;1.4886;
-142.8000;0.8824;1.5127;
-142.5000;0.8759;1.4982;
-142.2000;0.8759;1.5079;
-141.9000;0.8759;1.5079;
-141.6000;0.8791;1.5199;
-141.3000;0.8775;1.5127;
-141.0000;0.8767;1.5007;
-140.7000;0.8759;1.5031;
-140.4000;0.8775;1.5031;
-140.1000;0.8783;1.5007;
-139.8000;0.8848;1.5175;
-139.5000;0.8775;1.4958;
-139.2000;0.8775;1.5031;
-138.9000;0.8759;1.5007;
-138.6000;0.8751;1.5103;
-138.3000;0.8759;1.5103;
-138.0000;0.8783;1.5127;
-137.7000;0.8759;1.5031;
-137.4000;0.8759;1.5031;
-137.1000;0.8767;1.5103;
-136.8000;0.8783;1.5055;
-136.5000;0.8742;1.4982;
-136.2000;0.8775;1.5031;
-135.9000;0.8783;1.5055;
-135.6000;0.8775;1.5103;
-135.3000;0.8783;1.5103;
-135.0000;0.8775;1.5079;
-134.7000;0.8791;1.5055;
-134.4000;0.8775;1.4982;
-134.1000;0.8807;1.5079;
-133.8000;0.8832;1.5151;
-133.5000;0.8799;1.5079;
-133.2000;0.8791;1.5007;
-132.9000;0.8775;1.4934;
-132.6000;0.8775;1.4958;
-132.3000;0.8775;1.4958;
-132.0000;0.8759;1.4934;
-131.7000;0.8726;1.4838;
-131.4000;0.8767;1.4982;
-131.1000;0.8775;1.5055;
-130.8000;0.8759;1.5079;
-130.5000;0.8751;1.5007;
-130.2000;0.8767;1.5007;
-129.9000;0.8751;1.4958;
-129.6000;0.8759;1.4934;
-129.3000;0.8742;1.4934;
-129.0000;0.8759;1.4982;
-128.7000;0.8783;1.5031;
-128.4000;0.8791;1.5007;
-128.1000;0.8767;1.4982;
-127.8000;0.8775;1.5007;
-127.5000;0.8767;1.4982;
-127.2000;0.8767;1.4910;
-126.9000;0.8759;1.4886;
-126.6000;0.8742;1.4886;
-126.3000;0.8734;1.4838;
-126.0000;0.8767;1.4910;
-125.7000;0.8742;1.4934;
-125.4000;0.8791;1.5031;
-125.1000;0.8783;1.5031;
-124.8000;0.8751;1.4862;
-124.5000;0.8751;1.4862;
-124.2000;0.8751;1.4886;
-123.9000;0.8759;1.4862;
-123.6000;0.8751;1.4934;
-123.3000;0.8759;1.4934;
-123.0000;0.8710;1.4766;
-122.7000;0.8767;1.4982;
-122.4000;0.8767;1.4982;
-122.1000;0.8783;1.4958;
-121.8000;0.8759;1.4934;
-121.5000;0.8759;1.4886;
-121.2000;0.8759;1.4862;
-120.9000;0.8816;1.4934;
-120.6000;0.8783;1.4814;
-120.3000;0.8889;1.5079;
-120.0000;0.8775;1.4790;
-119.7000;0.8767;1.4838;
-119.4000;0.8791;1.4934;
-119.1000;0.8775;1.4934;
-118.8000;0.8775;1.4910;
-118.5000;0.8767;1.4910;
-118.2000;0.8767;1.4862;
-117.9000;0.8759;1.4934;
-117.6000;0.8775;1.5079;
-117.3000;0.8775;1.5055;
-117.0000;0.8742;1.5007;
-116.7000;0.8742;1.5031;
-116.4000;0.8767;1.5079;
-116.1000;0.8759;1.5031;
-115.8000;0.8767;1.5127;
-115.5000;0.8751;1.5079;
-115.2000;0.8767;1.5079;
-114.9000;0.8791;1.5031;
-114.6000;0.8791;1.5079;
-114.3000;0.8791;1.5103;
-114.0000;0.8783;1.5103;
-113.7000;0.8759;1.5007;
-113.4000;0.8767;1.5031;
-113.1000;0.8783;1.5031;
-112.8000;0.8767;1.5055;
-112.5000;0.8799;1.5079;
-112.2000;0.8775;1.5007;
-111.9000;0.8759;1.5007;
-111.6000;0.8767;1.4958;
-111.3000;0.8759;1.4910;
-111.0000;0.8767;1.4862;
-110.7000;0.8759;1.4862;
-110.4000;0.8751;1.4958;
-110.1000;0.8710;1.5007;
-109.8000;0.8685;1.4886;
-109.5000;0.8767;1.5007;
-109.2000;0.8767;1.5031;
-108.9000;0.8775;1.5055;
-108.6000;0.8807;1.5151;
-108.3000;0.8783;1.5103;
-108.0000;0.8775;1.4982;
-107.7000;0.8775;1.4934;
-107.4000;0.8767;1.4958;
-107.1000;0.8767;1.4982;
-106.8000;0.8767;1.4958;
-106.5000;0.8751;1.4934;
-106.2000;0.8775;1.4886;
-105.9000;0.8767;1.4910;
-105.6000;0.8677;1.4790;
-105.3000;0.8767;1.4982;
-105.0000;0.8791;1.5007;
-104.7000;0.8783;1.4934;
-104.4000;0.8799;1.4958;
-104.1000;0.8767;1.4958;
-103.8000;0.8767;1.5079;
-103.5000;0.8791;1.5127;
-103.2000;0.8783;1.5175;
-102.9000;0.8759;1.5103;
-102.6000;0.8767;1.5079;
-102.3000;0.8767;1.5031;
-102.0000;0.8767;1.5031;
-101.7000;0.8767;1.5079;
-101.4000;0.8767;1.5007;
-101.1000;0.8767;1.4910;
-100.8000;0.8767;1.4886;
-100.5000;0.8759;1.4838;
-100.2000;0.8791;1.4982;
-99.9000;0.8775;1.5007;
-99.6000;0.8775;1.4982;
-99.3000;0.8767;1.4910;
-99.0000;0.8759;1.4934;
-98.7000;0.8742;1.4814;
-98.4000;0.8775;1.4862;
-98.1000;0.8775;1.4934;
-97.8000;0.8783;1.4958;
-97.5000;0.8775;1.5007;
-97.2000;0.8775;1.5103;
-96.9000;0.8881;1.5391;
-96.6000;0.8751;1.5103;
-96.3000;0.8775;1.5103;
-96.0000;0.8767;1.5103;
-95.7000;0.8783;1.5103;
-95.4000;0.8759;1.5007;
-95.1000;0.8751;1.4910;
-94.8000;0.8767;1.4910;
-94.5000;0.8799;1.5055;
-94.2000;0.8783;1.5007;
-93.9000;0.8767;1.4958;
-93.6000;0.8767;1.5007;
-93.3000;0.8775;1.4910;
-93.0000;0.8807;1.4958;
-92.7000;0.8775;1.4886;
-92.4000;0.8767;1.4838;
-92.1000;0.8791;1.4862;
-91.8000;0.8751;1.4838;
-91.5000;0.8791;1.4934;
-91.2000;0.8742;1.4910;
-90.9000;0.8775;1.4982;
-90.6000;0.8775;1.4982;
-90.3000;0.8759;1.5031;
-90.0000;0.8751;1.5055;
-89.7000;0.8751;1.5031;
-89.4000;0.8775;1.4982;
-89.1000;0.8799;1.5031;
-88.8000;0.8783;1.4982;
-88.5000;0.8791;1.5079;
-88.2000;0.8751;1.5079;
-87.9000;0.8775;1.5127;
-87.6000;0.8775;1.5127;
-87.3000;0.8726;1.5031;
-87.0000;0.8767;1.5151;
-86.7000;0.8783;1.5175;
-86.4000;0.8775;1.5199;
-86.1000;0.8791;1.5175;
-85.8000;0.8767;1.5103;
-85.5000;0.8759;1.5079;
-85.2000;0.8767;1.5031;
-84.9000;0.8759;1.4982;
-84.6000;0.8783;1.5079;
-84.3000;0.8775;1.5079;
-84.0000;0.8759;1.5103;
-83.7000;0.8734;1.4934;
-83.4000;0.8759;1.4934;
-83.1000;0.8783;1.4910;
-82.8000;0.8767;1.4838;
-82.5000;0.8742;1.4814;
-82.2000;0.8759;1.4886;
-81.9000;0.8759;1.4958;
-81.6000;0.8759;1.5031;
-81.3000;0.8742;1.4982;
-81.0000;0.8791;1.5079;
-80.7000;0.8775;1.5103;
-80.4000;0.8759;1.5103;
-80.1000;0.8702;1.4982;
-79.8000;0.8759;1.5103;
-79.5000;0.8759;1.5151;
-79.2000;0.8767;1.5127;
-78.9000;0.8677;1.4934;
-78.6000;0.8767;1.5079;
-78.3000;0.8775;1.5007;
-78.0000;0.8791;1.5055;
-77.7000;0.8767;1.5007;
-77.4000;0.8751;1.4982;
-77.1000;0.8767;1.5055;
-76.8000;0.8767;1.4958;
-76.5000;0.8759;1.4910;
-76.2000;0.8751;1.4886;
-75.9000;0.8767;1.5007;
-75.6000;0.8767;1.5007;
-75.3000;0.8767;1.5079;
-75.0000;0.8783;1.5151;
-74.7000;0.8759;1.5103;
-74.4000;0.8751;1.5007;
-74.1000;0.8783;1.5031;
-73.8000;0.8767;1.4934;
-73.5000;0.8816;1.4982;
-73.2000;0.8791;1.4934;
-72.9000;0.8783;1.5007;
-72.6000;0.8856;1.5151;
-72.3000;0.8759;1.4958;
-72.0000;0.8783;1.4958;
-71.7000;0.8759;1.4958;
-71.4000;0.8677;1.4790;
-71.1000;0.8751;1.4958;
-70.8000;0.8775;1.4934;
-70.5000;0.8848;1.5031;
-70.2000;0.8767;1.4862;
-69.9000;0.8759;1.4886;
-69.6000;0.8767;1.4934;
-69.3000;0.8767;1.4910;
-69.0000;0.8775;1.4934;
-68.7000;0.8775;1.4886;
-68.4000;0.8751;1.4814;
-68.1000;0.8775;1.4910;
-67.8000;0.8775;1.4934;
-67.5000;0.8799;1.4934;
-67.2000;0.8742;1.4862;
-66.9000;0.8759;1.4886;
-66.6000;0.8783;1.4862;
-66.3000;0.8775;1.4838;
-66.0000;0.8783;1.4886;
-65.7000;0.8783;1.4838;
-65.4000;0.8775;1.4814;
-65.1000;0.8816;1.4934;
-64.8000;0.8775;1.4934;
-64.5000;0.8759;1.4910;
-64.2000;0.8775;1.4910;
-63.9000;0.8799;1.5007;
-63.6000;0.8775;1.4934;
-63.3000;0.8718;1.4790;
-63.0000;0.8767;1.4862;
-62.7000;0.8799;1.4910;
-62.4000;0.8767;1.4982;
-62.1000;0.8767;1.4958;
-61.8000;0.8767;1.4910;
-61.5000;0.8783;1.4934;
-61.2000;0.8783;1.4934;
-60.9000;0.8759;1.4838;
-60.6000;0.8783;1.4862;
-60.3000;0.8775;1.4862;
-60.0000;0.8775;1.4886;
-59.7000;0.8759;1.4838;
-59.4000;0.8775;1.4910;
-59.1000;0.8767;1.4910;
-58.8000;0.8775;1.5007;
-58.5000;0.8783;1.5103;
-58.2000;0.8767;1.5079;
-57.9000;0.8767;1.5127;
-57.6000;0.8702;1.4958;
-57.3000;0.8775;1.5151;
-57.0000;0.8759;1.5031;
-56.7000;0.8759;1.4934;
-56.4000;0.8751;1.4934;
-56.1000;0.8759;1.4838;
-55.8000;0.8751;1.4862;
-55.5000;0.8742;1.4766;
-55.2000;0.8783;1.4862;
-54.9000;0.8775;1.4838;
-54.6000;0.8751;1.4838;
-54.3000;0.8751;1.4910;
-54.0000;0.8783;1.4982;
-53.7000;0.8807;1.5055;
-53.4000;0.8751;1.4838;
-53.1000;0.8751;1.4886;
-52.8000;0.8783;1.5007;
-52.5000;0.8759;1.4934;
-52.2000;0.8767;1.5007;
-51.9000;0.8775;1.4958;
-51.6000;0.8791;1.5007;
-51.3000;0.8783;1.4910;
-51.0000;0.8775;1.4862;
-50.7000;0.8751;1.4766;
-50.4000;0.8775;1.4886;
-50.1000;0.8775;1.4958;
-49.8000;0.8759;1.4934;
-49.5000;0.8767;1.4982;
-49.2000;0.8767;1.5079;
-48.9000;0.8832;1.5127;
-48.6000;0.8791;1.4982;
-48.3000;0.8783;1.4910;
