time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.3329;1.1291;
-199.5000;0.3394;1.1413;
-199.2000;0.3411;1.1389;
-198.9000;0.3394;1.1413;
-198.6000;0.3403;1.1364;
-198.3000;0.3419;1.1389;
-198.0000;0.3411;1.1340;
-197.7000;0.3411;1.1389;
-197.4000;0.3403;1.1438;
-197.1000;0.3403;1.1462;
-196.8000;0.3403;1.1438;
-196.5000;0.3419;1.1487;
-196.2000;0.3403;1.1438;
-195.9000;0.3411;1.1413;
-195.6000;0.3394;1.1315;
-195.3000;0.3403;1.1242;
-195.0000;0.3378;1.1340;
-194.7000;0.3386;1.1413;
-194.4000;0.3394;1.1340;
-194.1000;0.3394;1.1291;
-193.8000;0.3508;1.1633;
-193.5000;0.3403;1.1364;
-193.2000;0.3403;1.1389;
-192.9000;0.3403;1.1389;
-192.6000;0.3403;1.1340;
-192.3000;0.3419;1.1438;
-192.0000;0.3403;1.1487;
-191.7000;0.3419;1.1487;
-191.4000;0.3403;1.1438;
-191.1000;0.3394;1.1364;
-190.8000;0.3411;1.1438;
-190.5000;0.3403;1.1487;
-190.2000;0.3378;1.1413;
-189.9000;0.3443;1.1609;
-189.6000;0.3419;1.1560;
-189.3000;0.3411;1.1560;
-189.0000;0.3403;1.1560;
-188.7000;0.3411;1.1535;
-188.4000;0.3411;1.1584;
-188.1000;0.3411;1.1535;
-187.8000;0.3411;1.1462;
-187.5000;0.3346;1.1438;
-187.2000;0.3403;1.1535;
-186.9000;0.3394;1.1511;
-186.6000;0.3394;1.1535;
-186.3000;0.3394;1.1535;
-186.0000;0.3394;1.1462;
-185.7000;0.3403;1.1584;
-185.4000;0.3386;1.1609;
-185.1000;0.3394;1.1706;
-184.8000;0.3411;1.1706;
-184.5000;0.3394;1.1535;
-184.2000;0.3394;1.1560;
-183.9000;0.3411;1.1609;
-183.6000;0.3403;1.1609;
-183.3000;0.3386;1.1560;
-183.0000;0.3411;1.1609;
-182.7000;0.3427;1.1609;
-182.4000;0.3411;1.1511;
-182.1000;0.3435;1.1535;
-181.8000;0.3386;1.1389;
-181.5000;0.3403;1.1511;
-181.2000;0.3419;1.1560;
-180.9000;0.3403;1.1487;
-180.6000;0.3394;1.1487;
-180.3000;0.3386;1.1462;
-180.0000;0.3419;1.1462;
-179.7000;0.3419;1.1413;
-179.4000;0.3403;1.1413;
-179.1000;0.3419;1.1462;
-178.8000;0.3394;1.1413;
-178.5000;0.3419;1.1487;
-178.2000;0.3386;1.1462;
-177.9000;0.3394;1.1535;
-177.6000;0.3394;1.1462;
-177.3000;0.3403;1.1413;
-177.0000;0.3411;1.1389;
-176.7000;0.3451;1.1511;
-176.4000;0.3411;1.1389;
-176.1000;0.3411;1.1389;
-175.8000;0.3427;1.1438;
-175.5000;0.3370;1.1218;
-175.2000;0.3403;1.1315;
-174.9000;0.3394;1.1389;
-174.6000;0.3411;1.1389;
-174.3000;0.3386;1.1413;
-174.0000;0.3378;1.1438;
-173.7000;0.3403;1.1609;
-173.4000;0.3435;1.1682;
-173.1000;0.3443;1.1609;
