"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
10.11.23;08:12:48;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:43:22;MC-Start;MCB;MC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:43:23;Manual;SK;S_231110_084323; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:44:24;MC-Stop;MCE;MC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:44:29;MC-Start;MCB;MC2;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:44:29;Manual;SK;S_231110_084429; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:45:23;MC-Stop;MCE;MC2;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:45:33;P700-Cal.;SK;S_231110_084533; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:46:42;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:46:42;Manual;SK;S_231110_084642; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:46:43;Fo-Det.;Fo;; 0.0;0;;0.0000;0.1771;;;;;;;;;;;;;;;;;;;;;;
10.11.23;08:46:44;Fm-Det.;SP;F_231110_084644_0; 0.0;0;;0.0000;0.1771;0.5557;;0.3210;0.681;;;0.000;0.578;0.000;0.000;0.000;0.620;0.342;0.578;1.000;-0.008;0.020;;;;;
10.11.23;08:46:52;Pm.-Det.;SP;F_231110_084652_0; 0.0;26;;0.0000;0.1738;0.5245;;0.3403;0.351;;;3.836;0.612;0.036;0.059;0.074;0.525;0.268;0.612;0.944;0.000;0.050;0.991;0.009;0.000;10.821;
10.11.23;08:47:06;P.+F. SP;SP;F_231110_084706_0; 0.0;26;;0.0000;0.1729;0.5156;;0.3299;0.360;;;3.933;0.594;0.046;0.078;0.095;0.542;0.284;0.594;0.928;-0.002;0.047;0.992;0.000;0.008;10.832;
10.11.23;08:47:16;P.+F. SP;SP;F_231110_084716_0; 0.0;36;;0.0000;0.1723;0.5106;;0.3473;0.320;;;4.837;0.625;0.055;0.088;0.106;0.483;0.239;0.625;0.919;0.006;0.058;1.000;0.115;-0.115;15.120;
10.11.23;08:47:26;P.+F. SP;SP;F_231110_084726_0; 0.0;48;;0.0000;0.1718;0.5067;;0.3630;0.284;;;5.717;0.653;0.063;0.097;0.115;0.429;0.203;0.653;0.912;-0.003;0.051;1.000;0.000;0.000;20.160;
10.11.23;08:47:36;P.+F. SP;SP;F_231110_084736_0; 0.0;60;;0.0000;0.1713;0.5021;;0.3767;0.250;;;6.292;0.678;0.072;0.107;0.126;0.379;0.172;0.678;0.903;0.009;0.060;1.000;0.186;-0.186;25.200;
10.11.23;08:47:46;P.+F. SP;SP;F_231110_084746_0; 0.0;105;;0.0000;0.1708;0.4976;;0.4136;0.169;;;7.448;0.744;0.087;0.117;0.137;0.257;0.106;0.744;0.895;0.008;0.047;0.791;0.157;0.052;34.889;
10.11.23;08:47:56;P.+F. SP;SP;F_231110_084756_0; 0.0;162;;0.0000;0.1701;0.4922;;0.4357;0.115;;;7.811;0.784;0.101;0.129;0.149;0.175;0.069;0.784;0.886;0.015;0.055;0.806;0.299;-0.105;54.870;
10.11.23;08:48:06;P.+F. SP;SP;F_231110_084806_0; 0.0;199;;0.0000;0.1693;0.4852;;0.4408;0.091;;;7.640;0.793;0.115;0.145;0.166;0.140;0.054;0.793;0.873;0.009;0.056;0.934;0.187;-0.121;78.086;
10.11.23;08:48:16;P.+F. SP;SP;F_231110_084816_0; 0.0;290;;0.0000;0.1686;0.4792;;0.4511;0.059;;;7.134;0.812;0.130;0.160;0.179;0.090;0.034;0.812;0.862;0.016;0.055;0.778;0.322;-0.100;94.784;
10.11.23;08:48:26;P.+F. SP;SP;F_231110_084826_0; 0.0;410;;0.0000;0.1675;0.4711;;0.4557;0.033;;;5.633;0.820;0.147;0.180;0.198;0.051;0.019;0.820;0.848;0.015;0.058;0.872;0.293;-0.166;150.241;
10.11.23;08:48:36;P.+F. SP;SP;F_231110_084836_0; 0.0;550;;0.0000;0.1662;0.4603;;0.4520;0.018;;;4.133;0.813;0.169;0.207;0.223;0.028;0.010;0.813;0.828;0.011;0.043;0.653;0.223;0.123;150.939;
10.11.23;08:48:46;P.+F. SP;SP;F_231110_084846_0; 0.0;720;;0.0000;0.1644;0.4472;;0.4439;0.008;;;2.280;0.799;0.194;0.243;0.253;0.012;0.004;0.799;0.805;0.030;0.060;0.595;0.615;-0.210;179.933;
10.11.23;08:48:49;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
