time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.2873;0.8838;
-199.5000;0.2857;0.8789;
-199.2000;0.2865;0.8715;
-198.9000;0.2857;0.8740;
-198.6000;0.2873;0.8691;
-198.3000;0.2882;0.8764;
-198.0000;0.2873;0.8813;
-197.7000;0.2833;0.8813;
-197.4000;0.2857;0.8862;
-197.1000;0.2833;0.8691;
-196.8000;0.2857;0.8666;
-196.5000;0.2849;0.8641;
-196.2000;0.2833;0.8691;
-195.9000;0.2849;0.8764;
-195.6000;0.2890;0.8862;
-195.3000;0.2865;0.8838;
-195.0000;0.2857;0.8789;
-194.7000;0.2857;0.8764;
-194.4000;0.2841;0.8789;
-194.1000;0.2849;0.8789;
-193.8000;0.2849;0.8813;
-193.5000;0.2865;0.8862;
-193.2000;0.2857;0.8789;
-192.9000;0.2873;0.8764;
-192.6000;0.2825;0.8641;
-192.3000;0.2825;0.8764;
-192.0000;0.2865;0.8813;
-191.7000;0.2873;0.8838;
-191.4000;0.2857;0.8887;
-191.1000;0.2841;0.8887;
-190.8000;0.2849;0.8887;
-190.5000;0.2873;0.8911;
-190.2000;0.2890;0.8936;
-189.9000;0.2882;0.8862;
-189.6000;0.2865;0.8862;
-189.3000;0.2873;0.8911;
-189.0000;0.2857;0.8838;
-188.7000;0.2882;0.8911;
-188.4000;0.2857;0.8764;
-188.1000;0.2849;0.8789;
-187.8000;0.2849;0.8789;
-187.5000;0.2849;0.8715;
-187.2000;0.2857;0.8764;
-186.9000;0.2873;0.8764;
-186.6000;0.2857;0.8789;
-186.3000;0.2922;0.8911;
-186.0000;0.2865;0.8764;
-185.7000;0.2857;0.8740;
-185.4000;0.2865;0.8740;
-185.1000;0.2857;0.8666;
-184.8000;0.2865;0.8715;
-184.5000;0.2890;0.8691;
-184.2000;0.2898;0.8764;
-183.9000;0.2857;0.8715;
-183.6000;0.2865;0.8862;
-183.3000;0.2857;0.8813;
-183.0000;0.2873;0.8764;
-182.7000;0.2865;0.8764;
-182.4000;0.2841;0.8691;
-182.1000;0.2857;0.8715;
-181.8000;0.2849;0.8740;
-181.5000;0.2857;0.8789;
-181.2000;0.2857;0.8764;
-180.9000;0.2857;0.8715;
-180.6000;0.2865;0.8617;
-180.3000;0.2865;0.8666;
-180.0000;0.2865;0.8617;
-179.7000;0.2857;0.8617;
-179.4000;0.2865;0.8691;
-179.1000;0.2857;0.8715;
-178.8000;0.2857;0.8617;
-178.5000;0.2865;0.8592;
-178.2000;0.2857;0.8641;
-177.9000;0.2890;0.8764;
-177.6000;0.2849;0.8666;
-177.3000;0.2849;0.8715;
-177.0000;0.2849;0.8666;
-176.7000;0.2857;0.8740;
-176.4000;0.2857;0.8764;
-176.1000;0.2825;0.8691;
-175.8000;0.2865;0.8740;
-175.5000;0.2849;0.8813;
-175.2000;0.2849;0.8764;
-174.9000;0.2841;0.8764;
-174.6000;0.2873;0.8715;
-174.3000;0.2857;0.8617;
-174.0000;0.2865;0.8715;
-173.7000;0.2849;0.8691;
-173.4000;0.2849;0.8740;
-173.1000;0.2857;0.8715;
-172.8000;0.2857;0.8617;
-172.5000;0.2849;0.8641;
-172.2000;0.2833;0.8568;
-171.9000;0.2857;0.8691;
-171.6000;0.2849;0.8641;
-171.3000;0.2849;0.8617;
-171.0000;0.2865;0.8641;
-170.7000;0.2865;0.8666;
-170.4000;0.2890;0.8666;
-170.1000;0.2857;0.8691;
-169.8000;0.2857;0.8641;
-169.5000;0.2849;0.8592;
-169.2000;0.2857;0.8641;
-168.9000;0.2841;0.8592;
-168.6000;0.2857;0.8666;
-168.3000;0.2849;0.8641;
-168.0000;0.2841;0.8666;
-167.7000;0.2857;0.8691;
-167.4000;0.2841;0.8568;
-167.1000;0.2825;0.8568;
-166.8000;0.2865;0.8641;
-166.5000;0.2857;0.8691;
-166.2000;0.2849;0.8715;
-165.9000;0.2825;0.8715;
-165.6000;0.2833;0.8715;
-165.3000;0.2873;0.8740;
-165.0000;0.2865;0.8838;
-164.7000;0.2841;0.8740;
-164.4000;0.2857;0.8740;
-164.1000;0.2857;0.8764;
-163.8000;0.2849;0.8715;
-163.5000;0.2857;0.8715;
-163.2000;0.2841;0.8740;
-162.9000;0.2849;0.8862;
-162.6000;0.2865;0.8838;
-162.3000;0.2800;0.8691;
-162.0000;0.2800;0.8666;
-161.7000;0.2857;0.8813;
-161.4000;0.2849;0.8862;
-161.1000;0.2792;0.8666;
-160.8000;0.2849;0.8813;
-160.5000;0.2849;0.8789;
-160.2000;0.2873;0.8789;
-159.9000;0.2841;0.8764;
-159.6000;0.2857;0.8813;
-159.3000;0.2857;0.8813;
-159.0000;0.2873;0.8838;
-158.7000;0.2857;0.8887;
-158.4000;0.2865;0.8985;
-158.1000;0.2857;0.9034;
-157.8000;0.2849;0.9034;
-157.5000;0.2857;0.8985;
-157.2000;0.2841;0.8911;
-156.9000;0.2882;0.8985;
-156.6000;0.2873;0.9010;
-156.3000;0.2873;0.8936;
-156.0000;0.2873;0.8936;
-155.7000;0.2857;0.8936;
-155.4000;0.2849;0.8936;
-155.1000;0.2873;0.8961;
-154.8000;0.2882;0.8985;
-154.5000;0.2849;0.8911;
-154.2000;0.2857;0.8911;
-153.9000;0.2865;0.8961;
-153.6000;0.2882;0.8985;
-153.3000;0.2857;0.8887;
-153.0000;0.2857;0.8838;
-152.7000;0.2849;0.8813;
-152.4000;0.2906;0.9010;
-152.1000;0.2841;0.8838;
-151.8000;0.2873;0.8789;
-151.5000;0.2865;0.8862;
-151.2000;0.2873;0.8961;
-150.9000;0.2865;0.8862;
-150.6000;0.2849;0.8813;
-150.3000;0.2857;0.8961;
-150.0000;0.2857;0.8887;
-149.7000;0.2873;0.8936;
-149.4000;0.2865;0.8887;
-149.1000;0.2890;0.8911;
-148.8000;0.2857;0.8887;
-148.5000;0.2849;0.8961;
-148.2000;0.2857;0.8911;
-147.9000;0.2849;0.8911;
-147.6000;0.2857;0.8936;
-147.3000;0.2865;0.8862;
-147.0000;0.2849;0.8789;
-146.7000;0.2857;0.8789;
-146.4000;0.2841;0.8740;
-146.1000;0.2849;0.8740;
-145.8000;0.2841;0.8740;
-145.5000;0.2800;0.8568;
-145.2000;0.2849;0.8641;
-144.9000;0.2865;0.8691;
-144.6000;0.2857;0.8691;
-144.3000;0.2849;0.8715;
-144.0000;0.2873;0.8666;
-143.7000;0.2873;0.8666;
-143.4000;0.2873;0.8764;
-143.1000;0.2849;0.8838;
-142.8000;0.2849;0.8715;
-142.5000;0.2865;0.8764;
-142.2000;0.2857;0.8789;
-141.9000;0.2939;0.9108;
-141.6000;0.2841;0.8862;
-141.3000;0.2800;0.8666;
-141.0000;0.2963;0.9059;
-140.7000;0.2873;0.8911;
-140.4000;0.2849;0.8887;
-140.1000;0.2857;0.8911;
-139.8000;0.2882;0.8936;
-139.5000;0.2865;0.8838;
-139.2000;0.2841;0.8789;
-138.9000;0.2873;0.8838;
-138.6000;0.2873;0.8764;
-138.3000;0.2873;0.8764;
-138.0000;0.2865;0.8691;
-137.7000;0.2849;0.8617;
-137.4000;0.2873;0.8617;
-137.1000;0.2849;0.8543;
-136.8000;0.2816;0.8519;
-136.5000;0.2865;0.8740;
-136.2000;0.2865;0.8715;
-135.9000;0.2857;0.8715;
-135.6000;0.2833;0.8592;
-135.3000;0.2849;0.8617;
-135.0000;0.2784;0.8371;
-134.7000;0.2955;0.8838;
-134.4000;0.2857;0.8543;
-134.1000;0.2857;0.8568;
-133.8000;0.2849;0.8691;
-133.5000;0.2865;0.8641;
-133.2000;0.2849;0.8666;
-132.9000;0.2816;0.8543;
-132.6000;0.2857;0.8641;
-132.3000;0.2873;0.8691;
-132.0000;0.2865;0.8568;
-131.7000;0.2865;0.8445;
-131.4000;0.2841;0.8347;
-131.1000;0.2857;0.8396;
-130.8000;0.2857;0.8494;
-130.5000;0.2857;0.8592;
-130.2000;0.2825;0.8617;
-129.9000;0.2808;0.8641;
-129.6000;0.2849;0.8764;
-129.3000;0.2865;0.8862;
-129.0000;0.2792;0.8715;
-128.7000;0.2857;0.8936;
-128.4000;0.2833;0.8862;
-128.1000;0.2841;0.8985;
-127.8000;0.2833;0.8936;
-127.5000;0.2882;0.9034;
-127.2000;0.2849;0.8936;
-126.9000;0.2865;0.8985;
-126.6000;0.2841;0.8789;
-126.3000;0.2841;0.8838;
-126.0000;0.2865;0.8764;
-125.7000;0.2857;0.8789;
-125.4000;0.2857;0.8838;
-125.1000;0.2849;0.8813;
-124.8000;0.2857;0.8740;
-124.5000;0.2857;0.8666;
-124.2000;0.2833;0.8715;
-123.9000;0.2849;0.8715;
-123.6000;0.2849;0.8666;
-123.3000;0.2849;0.8666;
-123.0000;0.2890;0.8862;
-122.7000;0.2849;0.8764;
-122.4000;0.2833;0.8691;
-122.1000;0.2857;0.8715;
-121.8000;0.2873;0.8813;
-121.5000;0.2914;0.8961;
-121.2000;0.2857;0.8887;
-120.9000;0.2882;0.8838;
-120.6000;0.2882;0.8789;
-120.3000;0.2833;0.8617;
-120.0000;0.2882;0.8666;
-119.7000;0.2857;0.8715;
-119.4000;0.2882;0.8813;
-119.1000;0.2857;0.8813;
-118.8000;0.2857;0.8838;
-118.5000;0.2865;0.8813;
-118.2000;0.2906;0.9059;
-117.9000;0.2841;0.8887;
-117.6000;0.2849;0.8985;
-117.3000;0.2865;0.8887;
-117.0000;0.2865;0.8887;
-116.7000;0.2865;0.8862;
-116.4000;0.2865;0.8936;
-116.1000;0.2849;0.8838;
-115.8000;0.2857;0.8862;
-115.5000;0.2857;0.8838;
-115.2000;0.2865;0.8911;
-114.9000;0.2792;0.8715;
-114.6000;0.2865;0.8961;
-114.3000;0.2890;0.9034;
-114.0000;0.2865;0.8911;
-113.7000;0.2849;0.8887;
-113.4000;0.2865;0.8862;
-113.1000;0.2865;0.8838;
-112.8000;0.2865;0.8862;
-112.5000;0.2857;0.8838;
-112.2000;0.2857;0.8740;
-111.9000;0.2882;0.8862;
-111.6000;0.2882;0.8838;
-111.3000;0.2849;0.8715;
-111.0000;0.2882;0.8813;
-110.7000;0.2841;0.8740;
-110.4000;0.2849;0.8813;
-110.1000;0.2849;0.8862;
-109.8000;0.2841;0.8789;
-109.5000;0.2857;0.8862;
-109.2000;0.2849;0.8813;
-108.9000;0.2768;0.8641;
-108.6000;0.2841;0.8862;
-108.3000;0.2857;0.8813;
-108.0000;0.2849;0.8838;
-107.7000;0.2857;0.8838;
-107.4000;0.2841;0.8862;
-107.1000;0.2833;0.8838;
-106.8000;0.2849;0.8838;
-106.5000;0.2849;0.8887;
-106.2000;0.2873;0.8936;
-105.9000;0.2890;0.9010;
-105.6000;0.2873;0.8887;
-105.3000;0.2849;0.8764;
-105.0000;0.2849;0.8789;
-104.7000;0.2857;0.8862;
-104.4000;0.2849;0.8887;
-104.1000;0.2825;0.8764;
-103.8000;0.2849;0.8838;
-103.5000;0.2841;0.8813;
-103.2000;0.2841;0.8789;
-102.9000;0.2890;0.8911;
-102.6000;0.2841;0.8764;
-102.3000;0.2849;0.8789;
-102.0000;0.2849;0.8813;
-101.7000;0.2873;0.8838;
-101.4000;0.2906;0.8838;
-101.1000;0.2849;0.8691;
-100.8000;0.2857;0.8715;
-100.5000;0.2857;0.8715;
-100.2000;0.2857;0.8838;
-99.9000;0.2841;0.8936;
-99.6000;0.2849;0.8936;
-99.3000;0.2841;0.8936;
-99.0000;0.2849;0.8936;
-98.7000;0.2849;0.8911;
-98.4000;0.2857;0.8936;
-98.1000;0.2816;0.8887;
-97.8000;0.2873;0.9059;
-97.5000;0.2857;0.8985;
-97.2000;0.2857;0.8985;
-96.9000;0.2857;0.8862;
-96.6000;0.2865;0.8862;
-96.3000;0.2849;0.8764;
-96.0000;0.2849;0.8764;
-95.7000;0.2857;0.8887;
-95.4000;0.2849;0.8936;
-95.1000;0.2849;0.8911;
-94.8000;0.2857;0.8985;
-94.5000;0.2841;0.8911;
-94.2000;0.2873;0.8936;
-93.9000;0.2906;0.9059;
-93.6000;0.2833;0.8887;
-93.3000;0.2898;0.9010;
-93.0000;0.2841;0.8813;
-92.7000;0.2849;0.8862;
-92.4000;0.2849;0.8813;
-92.1000;0.2865;0.8862;
-91.8000;0.2865;0.8911;
-91.5000;0.2849;0.8911;
-91.2000;0.2857;0.8936;
-90.9000;0.2833;0.8838;
-90.6000;0.2833;0.8936;
-90.3000;0.2857;0.8985;
-90.0000;0.2865;0.8911;
-89.7000;0.2857;0.8813;
-89.4000;0.2816;0.8666;
-89.1000;0.2849;0.8691;
-88.8000;0.2849;0.8641;
-88.5000;0.2873;0.8740;
-88.2000;0.2857;0.8740;
-87.9000;0.2890;0.8838;
-87.6000;0.2857;0.8740;
-87.3000;0.2841;0.8838;
-87.0000;0.2841;0.8813;
-86.7000;0.2849;0.8764;
-86.4000;0.2857;0.8862;
-86.1000;0.2873;0.8911;
-85.8000;0.2833;0.8838;
-85.5000;0.2865;0.8838;
-85.2000;0.2865;0.8789;
-84.9000;0.2841;0.8838;
-84.6000;0.2849;0.8936;
-84.3000;0.2841;0.8911;
-84.0000;0.2865;0.8961;
-83.7000;0.2873;0.9010;
-83.4000;0.2865;0.8936;
-83.1000;0.2849;0.8887;
-82.8000;0.2849;0.8862;
-82.5000;0.2857;0.8862;
-82.2000;0.2849;0.8911;
-81.9000;0.2890;0.9034;
-81.6000;0.2849;0.8862;
-81.3000;0.2849;0.8887;
-81.0000;0.2857;0.8887;
-80.7000;0.2800;0.8813;
-80.4000;0.2906;0.9034;
-80.1000;0.2865;0.8838;
-79.8000;0.2873;0.8911;
-79.5000;0.2857;0.8936;
-79.2000;0.2841;0.8789;
-78.9000;0.2873;0.8862;
-78.6000;0.2882;0.8838;
-78.3000;0.2841;0.8641;
-78.0000;0.2865;0.8691;
-77.7000;0.2865;0.8813;
-77.4000;0.2849;0.8813;
-77.1000;0.2849;0.8789;
-76.8000;0.2857;0.8789;
-76.5000;0.2922;0.8961;
-76.2000;0.2882;0.8911;
-75.9000;0.2865;0.8887;
-75.6000;0.2841;0.8862;
-75.3000;0.2816;0.8764;
-75.0000;0.2873;0.8813;
-74.7000;0.2833;0.8715;
-74.4000;0.2816;0.8666;
-74.1000;0.2873;0.8764;
-73.8000;0.2963;0.9010;
-73.5000;0.2873;0.8764;
